x/c	z/c
1.000	-0.0044
0.975	0.0014
0.950	0.0051
0.925	0.0086
0.900	0.0114
0.875	0.0137
0.850	0.0156
0.825	0.0172
0.800	0.0184
0.775	0.0190
0.760	0.0194
0.740	0.0171
0.720	0.0119
0.710	0.0075
0.705	0.0030
0.7025  -0.0001
0.701   -0.0028
0.700	-0.0069
0.701   -0.0114
0.7025	-0.0142
0.705   -0.0165
0.7075	-0.0179
0.710	-0.0186
0.7125	-0.0188
0.725	-0.0175
0.750	-0.0143
0.775	-0.011
0.800	-0.0078
0.825	-0.0051
0.850	-0.0028
0.875	-0.0012
0.900   0.0000
0.925	0.0001
0.950	-0.0007
0.975	-0.0028
1.000	-0.0071
