Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.740	0.11134	0.030	0.701	0.719	0.702	0.978	-6.642	14.953	0.291
-15.0	-0.739	0.10000	0.027	0.701	0.719	0.702	0.978	-7.393	1.021	0.287
-14.0	-0.730	0.08855	0.023	0.701	0.719	0.702	0.978	-8.244	0.683	0.282
-13.0	-0.712	0.07682	0.016	0.701	0.719	0.702	0.978	-9.269	0.994	0.272
-12.0	-0.696	0.05378	-0.002	0.701	0.719	0.702	0.978	-12.936	2.960	0.246
-11.0	-0.697	0.01602	-0.026	0.701	0.719	0.702	0.978	-43.502	0.642	0.213
-10.0	-0.630	0.01775	-0.028	0.701	0.719	0.702	0.978	-35.489	0.281	0.205
-9.0	-0.549	0.01682	-0.030	0.701	0.719	0.702	0.978	-32.645	0.275	0.195
-8.0	-0.457	0.01535	-0.033	0.701	0.719	0.702	0.978	-29.779	0.273	0.179
-7.0	-0.356	0.01411	-0.035	0.701	0.719	0.702	0.978	-25.246	0.271	0.152
-6.0	-0.249	0.01346	-0.037	0.701	0.720	0.702	0.978	-18.480	0.270	0.102
-5.0	-0.137	0.01267	-0.039	0.701	0.720	0.702	0.978	-10.797	0.269	-0.036
-4.0	-0.022	0.01235	-0.041	0.701	0.720	0.702	0.978	-1.796	0.269	-1.612
-3.0	0.095	0.01226	-0.043	0.701	0.720	0.702	0.978	7.763	0.268	0.706
-2.0	0.211	0.01038	-0.046	0.701	0.720	0.702	0.978	20.339	0.269	0.466
-1.0	0.327	0.01049	-0.048	0.701	0.721	0.702	0.978	31.199	0.269	0.396
-0.0	0.444	0.01093	-0.050	0.701	0.721	0.702	0.978	40.592	0.266	0.362
1.0	0.593	0.01174	-0.052	0.701	0.721	0.702	0.978	50.504	0.266	0.338
2.0	0.710	0.01215	-0.054	0.701	0.721	0.702	0.978	58.479	0.268	0.326
3.0	0.825	0.01361	-0.056	0.701	0.721	0.702	0.978	60.611	0.268	0.318
4.0	0.938	0.01462	-0.058	0.701	0.721	0.702	0.978	64.167	0.268	0.312
5.0	1.046	0.01585	-0.060	0.701	0.721	0.702	0.978	65.989	0.269	0.307
6.0	1.147	0.01731	-0.062	0.703	0.721	0.702	0.978	66.290	0.270	0.304
7.0	1.239	0.01913	-0.064	0.703	0.721	0.702	0.978	64.766	0.271	0.302
8.0	1.321	0.02090	-0.066	0.703	0.721	0.702	0.978	63.214	0.273	0.300
9.0	1.391	0.02341	-0.067	0.703	0.721	0.702	0.978	59.412	0.275	0.298
10.0	1.449	0.02570	-0.069	0.703	0.721	0.702	0.977	56.390	0.278	0.298
11.0	1.491	0.02907	-0.070	0.703	0.721	0.702	0.977	51.280	0.274	0.297
12.0	1.509	0.03429	-0.070	0.703	0.721	0.703	0.977	44.005	0.538	0.297
13.0	1.479	0.04624	-0.067	0.703	0.721	0.703	0.977	31.989	0.386	0.295
14.0	1.364	0.08599	-0.051	0.703	0.722	0.703	0.977	15.858	0.405	0.287
15.0	1.331	0.11025	-0.044	0.703	0.722	0.703	0.977	12.073	0.402	0.283
16.0	1.306	0.12927	-0.042	0.703	0.722	0.703	0.977	10.101	0.333	0.282

