Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 1; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.617	0.07524	0.055	0.701	0.720	0.702	0.978	-8.194	0.452	0.340
-15.0	-0.582	0.06898	0.048	0.701	0.720	0.702	0.978	-8.444	0.430	0.333
-14.0	-0.540	0.06298	0.042	0.701	0.720	0.702	0.978	-8.577	0.402	0.327
-13.0	-0.489	0.05920	0.034	0.701	0.720	0.702	0.978	-8.266	0.075	0.320
-12.0	-0.707	0.02020	0.012	0.701	0.720	0.702	0.978	-34.997	0.061	0.267
-11.0	-0.643	0.01815	0.005	0.701	0.720	0.702	0.978	-35.407	0.337	0.258
-10.0	-0.556	0.01685	-0.001	0.701	0.720	0.702	0.978	-32.974	0.317	0.249
-9.0	-0.462	0.01555	-0.007	0.701	0.720	0.702	0.978	-29.707	0.313	0.235
-8.0	-0.362	0.01439	-0.013	0.701	0.720	0.702	0.978	-25.138	0.310	0.214
-7.0	-0.257	0.01353	-0.019	0.701	0.719	0.702	0.978	-18.965	0.372	0.175
-6.0	-0.261	0.01302	-0.025	0.701	0.720	0.702	0.978	-20.080	0.352	0.153
-5.0	-0.136	0.01236	-0.031	0.701	0.720	0.702	0.978	-11.038	0.299	0.020
-4.0	-0.011	0.01172	-0.038	0.701	0.720	0.702	0.978	-0.954	0.299	-3.110
-3.0	0.114	0.01129	-0.044	0.701	0.720	0.702	0.978	10.109	0.299	0.633
-2.0	0.238	0.00921	-0.050	0.701	0.720	0.702	0.978	25.792	0.300	0.460
-1.0	0.360	0.00928	-0.056	0.701	0.720	0.702	0.978	38.773	0.300	0.406
-0.0	0.481	0.00945	-0.062	0.701	0.720	0.702	0.978	50.889	0.317	0.379
1.0	0.551	0.01012	-0.069	0.701	0.720	0.702	0.978	54.417	0.322	0.375
2.0	0.669	0.01107	-0.076	0.701	0.720	0.702	0.978	60.409	0.308	0.363
3.0	0.784	0.01287	-0.082	0.701	0.720	0.702	0.978	60.940	0.309	0.355
4.0	0.900	0.01392	-0.089	0.701	0.720	0.702	0.978	64.668	0.310	0.349
5.0	1.012	0.01539	-0.096	0.701	0.721	0.702	0.978	65.762	0.313	0.345
6.0	1.121	0.01682	-0.103	0.703	0.721	0.702	0.978	66.617	0.317	0.342
7.0	1.223	0.01840	-0.110	0.703	0.721	0.702	0.978	66.509	0.324	0.340
8.0	1.318	0.02038	-0.118	0.703	0.721	0.702	0.978	64.693	0.334	0.339
9.0	1.406	0.02254	-0.126	0.703	0.721	0.702	0.978	62.376	0.351	0.339
10.0	1.481	0.02520	-0.134	0.703	0.721	0.702	0.978	58.791	0.393	0.341
11.0	1.537	0.02872	-0.144	0.703	0.722	0.702	0.978	53.527	0.525	0.344
12.0	1.566	0.03341	-0.157	0.703	0.722	0.703	0.978	46.883	-0.818	0.351
13.0	1.503	0.04481	-0.181	0.703	0.722	0.703	0.978	33.544	0.004	0.370
14.0	1.367	0.07252	-0.207	0.703	0.722	0.703	0.978	18.847	0.005	0.401
15.0	1.363	0.08872	-0.215	0.703	0.722	0.703	0.978	15.367	1.668	0.408
16.0	1.379	0.09948	-0.224	0.703	0.722	0.703	0.978	13.862	0.798	0.412
