Name = GAW-2
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 2; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.419	0.10853	-0.155	0.930	0.939	1.226	1.207	-3.863	0.509	-0.120
-15.0	-0.379	0.09783	-0.166	0.930	0.939	1.226	1.207	-3.872	1.510	-0.187
-14.0	-0.367	0.03836	-0.221	0.930	0.939	1.226	1.207	-9.561	1.307	-0.353
-13.0	-0.307	0.02619	-0.241	0.930	0.939	1.226	1.207	-11.734	0.442	-0.534
-12.0	-0.210	0.01941	-0.251	0.930	0.939	1.226	1.207	-10.832	0.345	-0.945
-11.0	-0.098	0.01861	-0.261	0.930	0.939	1.226	1.207	-5.276	0.332	-2.406
-10.0	0.025	0.01772	-0.270	0.930	0.939	1.226	1.207	1.395	0.325	11.195
-9.0	0.155	0.01686	-0.280	0.930	0.939	1.226	1.207	9.208	0.321	2.053
-8.0	0.290	0.01630	-0.289	0.930	0.939	1.226	1.207	17.813	0.318	1.246
-7.0	0.428	0.01616	-0.298	0.930	0.939	1.226	1.207	26.474	0.316	0.948
-6.0	0.566	0.01774	-0.307	0.930	0.939	1.226	1.207	31.911	0.314	0.793
-5.0	0.702	0.01506	-0.316	0.930	0.939	1.226	1.207	46.602	0.315	0.700
-4.0	0.839	0.01461	-0.325	0.930	0.940	1.226	1.207	57.442	0.315	0.637
-3.0	0.976	0.01516	-0.334	0.930	0.940	1.226	1.207	64.369	0.314	0.592
-2.0	1.108	0.01575	-0.342	0.930	0.940	1.226	1.207	70.345	0.317	0.559
-1.0	1.241	0.01658	-0.351	0.930	0.940	1.226	1.207	74.857	0.316	0.533
-0.0	1.372	0.01808	-0.360	0.930	0.939	1.226	1.207	75.868	0.296	0.512
1.0	1.586	0.01702	-0.367	0.930	0.940	1.226	1.207	93.213	0.295	0.482
2.0	1.717	0.01627	-0.375	0.930	0.940	1.226	1.207	105.538	0.310	0.468
3.0	1.838	0.01753	-0.383	0.930	0.940	1.226	1.207	104.837	0.314	0.458
4.0	1.948	0.01881	-0.390	0.930	0.940	1.226	1.208	103.516	0.319	0.450
5.0	2.044	0.02065	-0.397	0.930	0.940	1.226	1.208	98.991	0.327	0.444
6.0	2.126	0.02484	-0.404	0.930	0.940	1.226	1.208	85.602	0.340	0.440
7.0	2.191	0.02735	-0.410	0.930	0.944	1.226	1.208	80.120	0.364	0.437
8.0	2.238	0.03086	-0.416	0.930	0.945	1.226	1.208	72.522	0.414	0.436
9.0	2.265	0.03477	-0.422	0.930	0.945	1.226	1.208	65.164	0.268	0.436
10.0	2.167	0.04307	-0.415	0.930	0.946	1.226	1.208	50.313	0.406	0.441
11.0	1.938	0.08208	-0.371	0.930	0.947	1.226	1.208	23.613	0.428	0.441
12.0	1.888	0.09809	-0.365	0.930	0.947	1.226	1.208	19.251	0.316	0.443
13.0	1.807	0.11516	-0.362	0.930	0.948	1.226	1.207	15.688	0.277	0.451
14.0	1.718	0.13292	-0.361	0.930	0.949	1.226	1.207	12.924	0.267	0.460
15.0	1.623	0.15583	-0.359	0.930	0.951	1.226	1.208	10.416	0.257	0.471
16.0	1.528	0.17628	-0.359	0.930	0.952	1.226	1.207	8.666	0.248	0.485

