Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.031	0.03087	-0.415	0.952	0.971	1.234	1.218	-0.990	0.411	-13.341
-15.0	0.063	0.02308	-0.430	0.952	0.972	1.234	1.218	2.731	0.374	7.075
-14.0	0.176	0.02093	-0.441	0.952	1.213	1.234	1.214	8.411	0.339	2.755
-13.0	0.300	0.02016	-0.451	0.952	1.213	1.234	1.214	14.892	0.332	1.753
-12.0	0.432	0.01952	-0.462	0.952	1.213	1.234	1.214	22.142	0.327	1.319
-11.0	0.569	0.01879	-0.472	0.952	1.213	1.234	1.214	30.267	0.324	1.080
-10.0	0.708	0.01841	-0.482	0.952	1.213	1.234	1.214	38.438	0.321	0.932
-9.0	0.848	0.01858	-0.492	0.952	1.213	1.234	1.214	45.624	0.320	0.830
-8.0	0.985	0.01815	-0.502	0.952	1.213	1.234	1.214	54.261	0.319	0.759
-7.0	1.122	0.01778	-0.511	0.952	1.213	1.234	1.214	63.092	0.317	0.705
-6.0	1.259	0.01822	-0.520	0.952	1.213	1.234	1.214	69.094	0.314	0.663
-5.0	1.393	0.01913	-0.528	0.952	1.213	1.234	1.214	72.833	0.315	0.629
-4.0	1.527	0.01950	-0.537	0.952	1.213	1.234	1.214	78.313	0.314	0.602
-3.0	1.656	0.02052	-0.545	0.952	1.213	1.234	1.214	80.726	0.311	0.579
-2.0	1.786	0.02145	-0.553	0.952	1.213	1.234	1.214	83.258	0.312	0.560
-1.0	1.911	0.02242	-0.561	0.954	1.213	1.234	1.214	85.227	0.313	0.544
-0.0	2.028	0.02402	-0.568	0.954	1.213	1.234	1.214	84.441	0.296	0.530
1.0	2.250	0.02132	-0.577	0.954	1.213	1.234	1.214	105.556	0.296	0.506
2.0	2.350	0.02297	-0.583	0.954	1.213	1.234	1.214	102.319	0.320	0.498
3.0	2.436	0.02464	-0.590	0.954	1.213	1.234	1.214	98.835	0.330	0.492
4.0	2.504	0.02679	-0.596	0.954	1.213	1.234	1.214	93.464	0.349	0.488
5.0	2.553	0.03259	-0.601	0.954	1.213	1.234	1.214	78.340	0.389	0.486
6.0	2.582	0.03578	-0.607	0.954	1.213	1.234	1.214	72.176	0.514	0.485
7.0	2.592	0.03532	-0.612	0.954	1.213	1.234	1.214	73.371	0.211	0.486
8.0	2.526	0.04705	-0.609	0.954	1.213	1.234	1.214	53.691	0.422	0.491
9.0	2.210	0.07876	-0.546	0.954	1.213	1.234	1.214	28.064	0.435	0.497
10.0	2.122	0.09432	-0.534	0.956	1.213	1.234	1.214	22.499	0.348	0.502
11.0	2.020	0.11076	-0.527	0.956	1.213	1.234	1.214	18.238	0.307	0.511
12.0	1.914	0.12918	-0.522	0.956	1.213	1.234	1.214	14.813	0.286	0.523
13.0	1.806	0.14941	-0.520	0.956	1.213	1.234	1.214	12.085	0.266	0.538
14.0	1.698	0.16728	-0.519	0.956	1.213	1.234	1.214	10.152	0.263	0.555
15.0	1.592	0.19291	-0.517	0.956	1.213	1.234	1.214	8.254	0.276	0.575
16.0	1.490	0.21533	-0.513	0.958	1.213	1.234	1.214	6.918	0.284	0.595

