Name = NACA 0012
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 1; Transition model = 2; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	0.185	0.02641	-0.399	0.952	0.971	1.234	1.218	7.009	1.412	2.408
-15.0	0.206	0.01965	-0.423	0.952	0.972	1.234	1.218	10.466	0.514	2.309
-14.0	0.329	0.01787	-0.437	0.952	1.213	1.234	1.214	18.403	0.569	1.580
-13.0	0.297	0.01750	-0.452	0.952	1.213	1.234	1.214	16.955	0.498	1.775
-12.0	0.449	0.01720	-0.467	0.952	1.213	1.234	1.214	26.076	0.346	1.291
-11.0	0.602	0.01679	-0.482	0.952	1.213	1.234	1.214	35.817	0.345	1.051
-10.0	0.754	0.01665	-0.496	0.952	1.213	1.234	1.214	45.283	0.344	0.908
-9.0	0.906	0.01702	-0.510	0.952	1.213	1.234	1.214	53.223	0.343	0.813
-8.0	1.055	0.01628	-0.524	0.952	1.213	1.234	1.214	64.773	0.343	0.747
-7.0	1.202	0.01650	-0.538	0.952	1.213	1.234	1.214	72.845	0.342	0.697
-6.0	1.348	0.01698	-0.551	0.952	1.213	1.234	1.214	79.389	0.340	0.659
-5.0	1.493	0.01834	-0.564	0.952	1.213	1.234	1.214	81.399	0.340	0.628
-4.0	1.633	0.01870	-0.577	0.952	1.213	1.234	1.214	87.302	0.342	0.603
-3.0	1.771	0.01944	-0.589	0.952	1.213	1.234	1.214	91.100	0.341	0.583
-2.0	1.906	0.02028	-0.602	0.952	1.213	1.234	1.214	93.995	0.341	0.566
-1.0	2.038	0.02100	-0.614	0.954	1.213	1.234	1.214	97.056	0.342	0.551
-0.0	2.164	0.02229	-0.625	0.954	1.213	1.234	1.214	97.083	0.326	0.539
1.0	2.293	0.02131	-0.633	0.954	1.213	1.234	1.214	107.608	0.310	0.526
2.0	2.416	0.02281	-0.641	0.954	1.213	1.234	1.214	105.900	0.311	0.515
3.0	2.531	0.02462	-0.648	0.954	1.213	1.234	1.214	102.793	0.312	0.506
4.0	2.636	0.02677	-0.654	0.954	1.213	1.234	1.214	98.483	0.315	0.498
5.0	2.730	0.03259	-0.661	0.954	1.213	1.234	1.214	83.782	0.319	0.492
6.0	2.812	0.03578	-0.667	0.954	1.213	1.234	1.214	78.602	0.326	0.487
7.0	2.881	0.03532	-0.672	0.954	1.213	1.234	1.214	81.550	1.248	0.483
8.0	2.835	0.04753	-0.689	0.954	1.213	1.234	1.214	59.652	0.077	0.493
9.0	2.570	0.07926	-0.726	0.954	1.213	1.234	1.214	32.428	0.089	0.532
10.0	2.559	0.09073	-0.734	0.956	1.213	1.234	1.214	28.205	-0.087	0.537
11.0	2.523	0.10326	-0.742	0.956	1.213	1.234	1.214	24.433	0.079	0.544
12.0	2.470	0.11745	-0.749	0.956	1.213	1.234	1.214	21.030	0.129	0.553
13.0	2.402	0.13346	-0.756	0.956	1.213	1.234	1.214	17.995	0.155	0.565
14.0	2.321	0.14694	-0.763	0.956	1.213	1.234	1.214	15.797	0.172	0.579
15.0	2.231	0.16751	-0.770	0.956	1.213	1.234	1.214	13.321	0.185	0.595
16.0	2.135	0.18407	-0.775	0.958	1.213	1.234	1.214	11.599	0.190	0.613
