Name = GAW-2
Mach = 0; Re = 2200000; T.U. = 0.01; T.L. = 1.0
Surface Finish = 0; Stall model = 1; Transition model = 2; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-16.0	-0.470	0.09925	0.050	0.800	0.739	0.961	0.737	-4.737	0.656	0.357
-15.0	-0.447	0.09283	0.041	0.800	0.739	0.961	0.736	-4.813	0.045	0.341
-14.0	-0.538	0.07184	0.036	0.710	0.704	0.749	0.703	-7.490	-1.897	0.318
-13.0	-0.454	0.06880	0.025	0.710	0.704	0.749	0.703	-6.600	0.009	0.306
-12.0	-0.687	0.02990	0.000	0.710	0.704	0.749	0.703	-22.973	0.006	0.251
-11.0	-0.596	0.02786	-0.009	0.710	0.704	0.749	0.703	-21.409	0.345	0.234
-10.0	-0.490	0.02712	-0.018	0.710	0.704	0.749	0.703	-18.052	0.333	0.213
-9.0	-0.383	0.02534	-0.027	0.710	0.704	0.750	0.703	-15.096	0.332	0.179
-8.0	-0.276	0.02485	-0.036	0.710	0.704	0.750	0.703	-11.095	0.332	0.120
-7.0	-0.167	0.02420	-0.045	0.710	0.704	0.750	0.702	-6.894	0.331	-0.018
-6.0	-0.059	0.02341	-0.053	0.710	0.704	0.750	0.702	-2.523	0.331	-0.655
-5.0	0.049	0.02314	-0.062	0.710	0.704	0.750	0.702	2.102	0.331	1.529
-4.0	0.156	0.02264	-0.071	0.710	0.704	0.750	0.702	6.885	0.331	0.705
-3.0	0.263	0.02228	-0.080	0.710	0.704	0.750	0.702	11.785	0.330	0.553
-2.0	0.372	0.01920	-0.088	0.710	0.704	0.750	0.702	19.393	0.330	0.487
-1.0	0.479	0.01906	-0.097	0.710	0.704	0.750	0.702	25.110	0.347	0.452
-0.0	0.549	0.01949	-0.105	0.710	0.704	0.750	0.702	28.151	0.411	0.442
1.0	0.567	0.02088	-0.111	0.710	0.704	0.750	0.702	27.143	0.339	0.446
2.0	0.676	0.02235	-0.117	0.710	0.704	0.750	0.702	30.238	0.303	0.423
3.0	0.782	0.02416	-0.122	0.710	0.704	0.750	0.702	32.376	0.304	0.407
4.0	0.888	0.02558	-0.128	0.710	0.704	0.750	0.702	34.726	0.305	0.394
5.0	0.994	0.02762	-0.134	0.710	0.704	0.750	0.702	35.984	0.306	0.385
6.0	1.097	0.02944	-0.140	0.710	0.704	0.750	0.702	37.277	0.309	0.378
7.0	1.199	0.03197	-0.146	0.710	0.704	0.750	0.702	37.501	0.332	0.372
8.0	1.251	0.03417	-0.153	0.710	0.704	0.750	0.702	36.605	0.344	0.372
9.0	1.341	0.03674	-0.160	0.710	0.704	0.750	0.702	36.500	0.330	0.369
10.0	1.427	0.04002	-0.167	0.710	0.704	0.751	0.702	35.655	0.354	0.367
11.0	1.498	0.04383	-0.176	0.710	0.704	0.751	0.702	34.181	0.467	0.367
12.0	1.531	0.04958	-0.189	0.710	0.704	0.751	0.702	30.880	-3.569	0.374
13.0	1.489	0.06214	-0.211	0.710	0.704	0.751	0.702	23.959	-0.008	0.392
14.0	1.355	0.09078	-0.235	0.710	0.704	0.751	0.702	14.927	-0.054	0.423
15.0	1.387	0.10611	-0.242	0.710	0.704	0.751	0.702	13.070	0.410	0.425
16.0	1.445	0.11851	-0.249	0.710	0.704	0.751	0.702	12.190	0.374	0.423

