# Digitized data from Abbott & Von Doenhoff,
# "Theory of Wing Sections"
# NACA 0012 wing section, Re=6 million
# (digitizing only approximate, due to poor quality
# of plot in the book)
variables="alpha, deg","cl"
-17.2794 -1.25323
-16.2296 -1.34704
-15.8616 -1.54416
-15.1713 -1.51805
-14.3133 -1.44038
-13.2811 -1.3712
-12.2535 -1.25912
-11.2222 -1.18135
-10.1947 -1.06927
-8.14138 -0.827958
-6.25579 -0.638207
-5.22822 -0.526128
-4.19972 -0.422627
-1.96944 -0.215533
0.       0.
0.940006 0.120611
1.96944 0.215533
2.99515 0.34477
3.85131 0.439599
4.87888 0.551678
5.90831 0.6466
7.96346 0.870758
10.1891 1.12074
11.0471 1.19842
13.1088 1.36252
16.3759 1.59591
16.5678 1.42443
17.2971 1.09024
