#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00147  0.91536  0.020057  0.007518  0.000193     2.668
   0.00539  0.99479  0.00284  0.91814  0.019225  0.007412  0.000229     2.594
   0.01427  0.98619  0.00507  0.92360  0.017851  0.007214  0.000297     2.474
   0.02415  0.97662  0.00751  0.93072  0.016427  0.006971  0.000381     2.356
   0.03497  0.96613  0.01014  0.93973  0.014989  0.006686  0.000485     2.242
   0.04663  0.95480  0.01293  0.95062  0.013596  0.006368  0.000609     2.135
   0.05900  0.94278  0.01583  0.96322  0.012294  0.006030  0.000751     2.039
   0.07190  0.93022  0.01879  0.97721  0.011112  0.005686  0.000910     1.954
   0.08519  0.91727  0.02177  0.99219  0.010064  0.005351  0.001081     1.881
   0.09875  0.90404  0.02475  1.00772  0.009152  0.005033  0.001259     1.819
   0.11248  0.89062  0.02769  1.02342  0.008367  0.004737  0.001442     1.766
   0.12634  0.87708  0.03058  1.03905  0.007690  0.004466  0.001624     1.722
   0.14026  0.86344  0.03341  1.05427  0.007113  0.004221  0.001804     1.685
   0.15423  0.84975  0.03618  1.06914  0.006612  0.003999  0.001980     1.653
   0.16824  0.83601  0.03889  1.08343  0.006179  0.003798  0.002151     1.627
   0.18226  0.82224  0.04152  1.09724  0.005800  0.003615  0.002317     1.604
   0.19629  0.80844  0.04408  1.11048  0.005467  0.003449  0.002477     1.585
   0.21032  0.79463  0.04656  1.12315  0.005173  0.003298  0.002631     1.569
   0.22436  0.78080  0.04897  1.13542  0.004908  0.003158  0.002781     1.554
   0.23840  0.76695  0.05130  1.14716  0.004671  0.003030  0.002925     1.542
   0.25244  0.75310  0.05356  1.15857  0.004454  0.002910  0.003067     1.531
   0.26647  0.73923  0.05575  1.16947  0.004258  0.002799  0.003201     1.521
   0.28050  0.72536  0.05785  1.18008  0.004077  0.002695  0.003334     1.513
   0.29453  0.71149  0.05988  1.19029  0.003911  0.002599  0.003461     1.505
   0.30855  0.69761  0.06183  1.20022  0.003757  0.002507  0.003586     1.499
   0.32256  0.68372  0.06370  1.20980  0.003614  0.002421  0.003706     1.493
