 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1010.9      9    5.7    3.7     87   4.92    238    4.7  277.9  291.5  278.8
 1010.0     16    5.7    3.5     86   4.88    238    5.5  278.0  291.5  278.8
 1008.9     25    5.6    3.4     86   4.84    236    6.5  278.0  291.4  278.8
 1007.9     35    5.5    3.3     85   4.80    235    7.4  278.0  291.3  278.8
 1006.9     41    5.5    3.2     85   4.77    234    8.4  278.1  291.3  278.9
 1005.9     49    5.5    3.2     85   4.79    233    9.3  278.1  291.4  278.9
 1004.9     57    5.4    3.2     86   4.78    233   10.1  278.2  291.4  279.0
 1003.7     66    5.4    3.2     86   4.80    232   10.9  278.2  291.5  279.0
 1002.5     76    5.3    3.2     86   4.80    232   11.6  278.2  291.5  279.0
 1001.2     88    5.2    3.2     87   4.79    232   12.2  278.3  291.5  279.1
 1000.0     98    5.1    3.2     87   4.80    232   12.2  278.3  291.6  279.1
  999.9     98    5.1    3.2     87   4.80    232   12.8  278.3  291.6  279.1
  998.5    109    5.0    3.2     88   4.81    232   13.2  278.3  291.6  279.1
  997.2    122    4.9    3.2     88   4.82    233   13.6  278.3  291.6  279.1
  996.0    131    5.0    3.2     88   4.84    233   13.9  278.4  291.8  279.3
  994.8    140    5.0    3.2     88   4.84    234   14.1  278.5  291.9  279.3
  993.7    149    4.8    3.2     89   4.84    235   14.4  278.5  291.9  279.3
  992.6    157    4.7    3.2     90   4.87    237   14.6  278.4  291.9  279.2
  991.4    167    4.7    3.3     91   4.91    238   14.8  278.5  292.1  279.3
  990.1    178    4.6    3.2     91   4.88    240   15.0  278.5  292.0  279.3
  988.8    190    4.5    3.2     91   4.86    241   15.2  278.5  292.0  279.3
  987.4    200    4.4    3.1     91   4.85    243   15.5  278.6  292.0  279.4
  986.0    211    4.3    3.1     92   4.86    245   15.8  278.6  292.0  279.4
  984.7    224    4.2    3.2     93   4.88    247   16.1  278.6  292.1  279.4
  983.3    235    4.2    3.1     93   4.85    249   16.5  278.6  292.1  279.5
  982.1    247    4.1    3.1     93   4.86    251   16.8  278.7  292.1  279.5
  980.9    255    3.9    3.0     93   4.83    253   17.2  278.6  292.0  279.4
  979.8    262    3.9    3.0     94   4.85    254   17.5  278.7  292.1  279.5
  978.5    274    4.1    2.9     92   4.82    256   17.8  278.9  292.3  279.8
  977.3    286    4.8    2.7     86   4.75    257   18.2  279.8  293.0  280.6
  976.0    294    5.7    2.6     81   4.73    259   18.5  280.8  294.0  281.6
  974.7    308    5.7    2.6     81   4.74    260   18.8  280.9  294.1  281.7
  973.4    317    5.8    2.7     80   4.76    262   19.0  281.1  294.4  281.9
  972.1    329    5.8    2.6     80   4.75    263   19.3  281.2  294.5  282.0
  970.8    339    6.0    2.5     78   4.71    265   19.5  281.6  294.8  282.4
  969.5    349    6.3    2.4     76   4.69    266   19.7  281.9  295.1  282.7
  968.1    363    6.4    2.1     74   4.60    267   20.0  282.2  295.1  282.9
  966.8    374    7.0    1.9     70   4.54    269   20.2  282.8  295.7  283.6
  965.4    384    7.1    1.7     68   4.47    270   20.4  283.1  295.7  283.8
  964.0    397    7.4    1.7     67   4.48    272   20.6  283.5  296.2  284.2
  962.6    410    7.4    1.6     67   4.47    273   20.7  283.6  296.3  284.4
  961.3    420    7.3    1.6     67   4.45    274   20.9  283.7  296.3  284.4
  959.9    432    7.3    1.4     66   4.41    276   21.0  283.8  296.3  284.5
  958.4    446    7.7    1.0     63   4.30    277   21.0  284.3  296.6  285.0
  957.0    458    8.1    0.6     59   4.17    278   21.1  284.8  296.8  285.6
  955.7    468    8.5    0.5     57   4.14    279   21.1  285.3  297.2  286.0
  954.3    480    8.7    0.7     57   4.21    279   21.0  285.6  297.7  286.3
  953.0    492    8.7    0.8     58   4.26    280   21.0  285.7  298.0  286.4
  951.6    504    8.6    0.8     58   4.27    281   20.9  285.8  298.1  286.5
  950.3    515    8.5    0.8     58   4.27    281   20.8  285.8  298.1  286.6
  948.9    527    8.4    0.7     58   4.25    282   20.6  285.8  298.1  286.6
  947.5    540    8.4    0.6     58   4.22    282   20.5  285.9  298.0  286.6
  946.0    553    8.2    0.6     59   4.23    282   20.4  285.9  298.1  286.6
  944.6    567    8.1    0.5     59   4.21    282   20.3  285.9  298.0  286.6
  943.2    577    8.0    0.5     59   4.19    282   20.2  285.9  298.0  286.6
  941.9    588    7.9    0.5     59   4.21    283   20.1  285.9  298.0  286.6
  940.5    601    7.8    0.4     59   4.19    283   20.1  285.9  298.0  286.7
  939.1    614    7.8    0.3     59   4.17    283   20.0  286.0  298.0  286.7
  937.7    626    7.6    0.3     60   4.16    283   20.0  286.0  298.0  286.7
  936.3    637    7.5    0.3     60   4.16    283   20.0  286.0  298.0  286.7
  934.9    650    7.4    0.3     61   4.18    284   20.0  286.0  298.0  286.7
  933.5    663    7.3    0.2     61   4.16    284   20.0  286.0  298.0  286.7
  932.1    675    7.2    0.2     61   4.17    284   20.1  286.0  298.0  286.7
  930.7    687    7.0    0.2     62   4.17    284   20.1  286.0  298.0  286.7
  929.3    699    6.9    0.2     62   4.16    284   20.2  286.0  298.0  286.7
