[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -9.76306200e-01
1.98518834e-03, -1.23305821e+00
2.28990056e-03, -1.57174587e+00
2.60417908e-03, -1.98103476e+00
2.93083163e-03, -2.46824288e+00
3.27328406e-03, -3.03339601e+00
3.63449287e-03, -3.65416741e+00
4.01666388e-03, -4.28884363e+00
4.41987719e-03, -4.93746662e+00
4.82933270e-03, -5.52435827e+00
5.25433011e-03, -6.06783199e+00
5.69314370e-03, -6.64969254e+00
6.14420045e-03, -7.27705479e+00
6.60609081e-03, -7.94148922e+00
7.07758404e-03, -8.64134693e+00
7.55742937e-03, -9.38526058e+00
8.04443471e-03, -1.01845770e+01
8.53745546e-03, -1.10515785e+01
9.03528649e-03, -1.20042820e+01
9.56505444e-03, -1.30492783e+01
1.00972131e-02, -1.41998215e+01
1.06299762e-02, -1.54386129e+01
1.11612603e-02, -1.67288322e+01
1.16886348e-02, -1.80041752e+01
1.22092664e-02, -1.91233215e+01
1.27204731e-02, -1.99714165e+01
1.32203046e-02, -2.06913548e+01
1.37072857e-02, -2.12786179e+01
1.41804535e-02, -2.16677685e+01
1.46393068e-02, -2.18699780e+01
1.50835933e-02, -2.19751740e+01
1.55135337e-02, -2.20442982e+01
1.59295425e-02, -2.21025314e+01
1.63321309e-02, -2.21555882e+01
1.67218409e-02, -2.22008324e+01
1.70993488e-02, -2.22407875e+01
1.75232328e-02, -2.22047863e+01
1.79327000e-02, -2.22364368e+01
1.83287337e-02, -2.23167305e+01
1.87123641e-02, -2.24428673e+01
1.90844648e-02, -2.26156979e+01
1.94453336e-02, -2.28229523e+01
1.97951626e-02, -2.30357113e+01
2.01342255e-02, -2.32282925e+01
2.04628706e-02, -2.33849678e+01
2.07815096e-02, -2.34994984e+01
2.10905802e-02, -2.35697613e+01
2.13906914e-02, -2.35968761e+01
2.16824412e-02, -2.35859795e+01
2.19664853e-02, -2.35429592e+01
2.22434644e-02, -2.34739342e+01
2.25141179e-02, -2.33892975e+01
2.27792170e-02, -2.33036499e+01
2.30394881e-02, -2.32348919e+01
2.32955273e-02, -2.31990662e+01
2.35474892e-02, -2.32015858e+01
2.37953663e-02, -2.32314034e+01
2.40392666e-02, -2.32746964e+01
2.42791809e-02, -2.33233337e+01
2.45152097e-02, -2.33734989e+01
2.47473307e-02, -2.34239349e+01
2.49756370e-02, -2.34738827e+01
2.52001472e-02, -2.35238056e+01
2.54208837e-02, -2.35717411e+01
2.56379023e-02, -2.36155052e+01
2.58512422e-02, -2.36532192e+01
2.60608979e-02, -2.36812782e+01
2.62669288e-02, -2.36961384e+01
2.64693685e-02, -2.36947765e+01
2.66683269e-02, -2.36760139e+01
2.68639680e-02, -2.36439953e+01
2.70564631e-02, -2.36016464e+01
2.72459872e-02, -2.35515404e+01
2.74327118e-02, -2.34955044e+01
2.76168156e-02, -2.34344940e+01
2.77984757e-02, -2.33691101e+01
2.79778671e-02, -2.33000603e+01
2.81551685e-02, -2.32283802e+01
2.83305682e-02, -2.31554756e+01
2.85042431e-02, -2.30831413e+01
2.86763683e-02, -2.30137959e+01
2.88471319e-02, -2.29510689e+01
2.90166140e-02, -2.28973713e+01
2.91848313e-02, -2.28515244e+01
2.93518025e-02, -2.28109627e+01
2.95175333e-02, -2.27733936e+01
2.96820365e-02, -2.27369995e+01
2.98453253e-02, -2.27004814e+01
3.00074127e-02, -2.26626949e+01
3.01683117e-02, -2.26227036e+01
3.03280316e-02, -2.25794373e+01
3.04865856e-02, -2.25318718e+01
3.06439959e-02, -2.24796734e+01
3.08002513e-02, -2.24223366e+01
3.09553891e-02, -2.23598900e+01
3.11094020e-02, -2.22926292e+01
3.12623270e-02, -2.22202911e+01
3.14141922e-02, -2.21427422e+01
3.15650925e-02, -2.20606441e+01
3.17150950e-02, -2.19752254e+01
3.18642855e-02, -2.18874130e+01
3.20127420e-02, -2.17979946e+01
3.21605355e-02, -2.17073326e+01
3.23077552e-02, -2.16159630e+01
3.24544683e-02, -2.15245438e+01
3.26007567e-02, -2.14336643e+01
3.27466987e-02, -2.13442516e+01
3.28923762e-02, -2.12572937e+01
3.30378637e-02, -2.11738777e+01
3.31832394e-02, -2.10951252e+01
3.33285779e-02, -2.10221024e+01
3.34738977e-02, -2.09550362e+01
3.36192027e-02, -2.08926868e+01
3.37645039e-02, -2.08338623e+01
3.39098051e-02, -2.07778397e+01
3.40551026e-02, -2.07239723e+01
3.42004187e-02, -2.06722069e+01
3.43457460e-02, -2.06225071e+01
3.44910994e-02, -2.05748081e+01
3.46364677e-02, -2.05290623e+01
3.47818732e-02, -2.04854012e+01
3.49273160e-02, -2.04443913e+01
3.50727960e-02, -2.04063911e+01
3.52183282e-02, -2.03720818e+01
3.53639089e-02, -2.03422413e+01
3.55095156e-02, -2.03173275e+01
3.56551372e-02, -2.02982197e+01
3.58007327e-02, -2.02860107e+01
3.59462798e-02, -2.02819157e+01
3.60917486e-02, -2.02825432e+01
3.62371244e-02, -2.03001442e+01
3.63823697e-02, -2.03475513e+01
3.65274772e-02, -2.04395905e+01
3.66724543e-02, -2.06149426e+01
3.68173271e-02, -2.09885292e+01
3.69619615e-02, -2.20322094e+01
3.69724520e-02, -2.45342808e+01
3.69768627e-02, -2.48505573e+01
3.69753577e-02, -2.38937416e+01
3.69679928e-02, -2.14043808e+01
3.69548276e-02, -1.94415188e+01
3.69359553e-02, -1.87989197e+01
3.69115248e-02, -1.86541958e+01
3.68816704e-02, -1.85986977e+01
3.68504301e-02, -1.85746098e+01
3.68154980e-02, -1.85664959e+01
3.67769524e-02, -1.85682583e+01
3.67347933e-02, -1.85599594e+01
3.66896056e-02, -1.85390034e+01
3.66416574e-02, -1.84921913e+01
3.65910344e-02, -1.84183102e+01
3.65382545e-02, -1.83278770e+01
3.64836752e-02, -1.82827263e+01
3.64275761e-02, -1.83016644e+01
3.63703445e-02, -1.83355103e+01
3.63123789e-02, -1.84144173e+01
3.62540521e-02, -1.85017929e+01
3.61957476e-02, -1.85602474e+01
3.61378305e-02, -1.85892067e+01
3.60806547e-02, -1.86051731e+01
3.60205323e-02, -1.86202335e+01
3.59621681e-02, -1.86498184e+01
3.59059833e-02, -1.87035389e+01
3.58524919e-02, -1.87959080e+01
3.58021669e-02, -1.90545883e+01
3.57551761e-02, -2.08931160e+01
3.57119776e-02, -2.58283463e+01
3.56731042e-02, -2.92449875e+01
3.56384590e-02, -2.95640202e+01
3.56086195e-02, -2.66403465e+01
3.55835445e-02, -2.25058613e+01
3.53441723e-02, -1.99120674e+01
3.51056270e-02, -1.85138550e+01
3.48679721e-02, -1.75133152e+01
3.46312486e-02, -1.66683559e+01
3.43953520e-02, -1.58992777e+01
3.41601260e-02, -1.51707544e+01
