[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -8.19804072e-01
1.98518834e-03, -1.03494656e+00
2.28990056e-03, -1.32485175e+00
2.60417908e-03, -1.68492079e+00
2.93083163e-03, -2.12294817e+00
3.27328406e-03, -2.64148760e+00
3.63449287e-03, -3.22868848e+00
4.01666388e-03, -3.84705448e+00
4.41987719e-03, -4.48518276e+00
4.82933270e-03, -5.07256603e+00
5.25433011e-03, -5.62623930e+00
5.69314370e-03, -6.19266653e+00
6.14420045e-03, -6.78626776e+00
6.60609081e-03, -7.41254139e+00
7.07758404e-03, -8.07467365e+00
7.55742937e-03, -8.77519798e+00
8.04443471e-03, -9.52480316e+00
8.53745546e-03, -1.03281107e+01
9.03528649e-03, -1.11964884e+01
9.56505444e-03, -1.21723309e+01
1.00972131e-02, -1.32494030e+01
1.06299762e-02, -1.44105864e+01
1.11612603e-02, -1.56315126e+01
1.16886348e-02, -1.68783264e+01
1.22092664e-02, -1.80548935e+01
1.27204731e-02, -1.90270481e+01
1.32203046e-02, -1.98010788e+01
1.37072857e-02, -2.04900742e+01
1.41804535e-02, -2.10290089e+01
1.46393068e-02, -2.13972702e+01
1.50835933e-02, -2.16762848e+01
1.55135337e-02, -2.18886700e+01
1.59295425e-02, -2.20482693e+01
1.63321309e-02, -2.21727486e+01
1.67218409e-02, -2.22608376e+01
1.70993488e-02, -2.23378410e+01
1.75232328e-02, -2.23955517e+01
1.79327000e-02, -2.24787388e+01
1.83287337e-02, -2.25643921e+01
1.87123641e-02, -2.26686687e+01
1.90844648e-02, -2.28076420e+01
1.94453336e-02, -2.29859829e+01
1.97951626e-02, -2.31866093e+01
2.01342255e-02, -2.33843517e+01
2.04628706e-02, -2.35604134e+01
2.07815096e-02, -2.37097721e+01
2.10905802e-02, -2.38257141e+01
2.13906914e-02, -2.39020576e+01
2.16824412e-02, -2.39426594e+01
2.19664853e-02, -2.39506226e+01
2.22434644e-02, -2.39291267e+01
2.25141179e-02, -2.38846016e+01
2.27792170e-02, -2.38278427e+01
2.30394881e-02, -2.37740097e+01
2.32955273e-02, -2.37389965e+01
2.35474892e-02, -2.37330990e+01
2.37953663e-02, -2.37496872e+01
2.40392666e-02, -2.37802105e+01
2.42791809e-02, -2.38191433e+01
2.45152097e-02, -2.38627415e+01
2.47473307e-02, -2.39094219e+01
2.49756370e-02, -2.39568768e+01
2.52001472e-02, -2.40056324e+01
2.54208837e-02, -2.40512619e+01
2.56379023e-02, -2.40915279e+01
2.58512422e-02, -2.41277122e+01
2.60608979e-02, -2.41597919e+01
2.62669288e-02, -2.41828327e+01
2.64693685e-02, -2.41912842e+01
2.66683269e-02, -2.41858501e+01
2.68639680e-02, -2.41671543e+01
2.70564631e-02, -2.41350288e+01
2.72459872e-02, -2.40934467e+01
2.74327118e-02, -2.40450039e+01
2.76168156e-02, -2.39893684e+01
2.77984757e-02, -2.39275074e+01
2.79778671e-02, -2.38627071e+01
2.81551685e-02, -2.37952404e+01
2.83305682e-02, -2.37246933e+01
2.85042431e-02, -2.36549816e+01
2.86763683e-02, -2.35876598e+01
2.88471319e-02, -2.35235195e+01
2.90166140e-02, -2.34660835e+01
2.91848313e-02, -2.34167767e+01
2.93518025e-02, -2.33736000e+01
2.95175333e-02, -2.33328953e+01
2.96820365e-02, -2.32931137e+01
2.98453253e-02, -2.32546749e+01
3.00074127e-02, -2.32173290e+01
3.01683117e-02, -2.31791401e+01
3.03280316e-02, -2.31386166e+01
3.04865856e-02, -2.30955753e+01
3.06439959e-02, -2.30505714e+01
3.08002513e-02, -2.30021343e+01
3.09553891e-02, -2.29487877e+01
3.11094020e-02, -2.28906002e+01
3.12623270e-02, -2.28275394e+01
3.14141922e-02, -2.27589169e+01
3.15650925e-02, -2.26846905e+01
3.17150950e-02, -2.26063519e+01
3.18642855e-02, -2.25250969e+01
3.20127420e-02, -2.24417896e+01
3.21605355e-02, -2.23567791e+01
3.23077552e-02, -2.22709236e+01
3.24544683e-02, -2.21849480e+01
3.26007567e-02, -2.20991611e+01
3.27466987e-02, -2.20139408e+01
3.28923762e-02, -2.19289513e+01
3.30378637e-02, -2.18456001e+01
3.31832394e-02, -2.17664032e+01
3.33285779e-02, -2.16923637e+01
3.34738977e-02, -2.16236973e+01
3.36192027e-02, -2.15588570e+01
3.37645039e-02, -2.14962559e+01
3.39098051e-02, -2.14372692e+01
3.40551026e-02, -2.13827534e+01
3.42004187e-02, -2.13317585e+01
3.43457460e-02, -2.12833138e+01
3.44910994e-02, -2.12351971e+01
3.46364677e-02, -2.11875267e+01
3.47818732e-02, -2.11432896e+01
3.49273160e-02, -2.11032810e+01
3.50727960e-02, -2.10651436e+01
3.52183282e-02, -2.10284100e+01
3.53639089e-02, -2.09965076e+01
3.55095156e-02, -2.09713211e+01
3.56551372e-02, -2.09516850e+01
3.58007327e-02, -2.09374695e+01
3.59462798e-02, -2.09334049e+01
3.60917486e-02, -2.09349651e+01
3.62371244e-02, -2.09568958e+01
3.63823697e-02, -2.10066967e+01
3.65274772e-02, -2.10958118e+01
3.66724543e-02, -2.12836323e+01
3.68173271e-02, -2.15246506e+01
3.69619615e-02, -2.29844437e+01
3.69724520e-02, -2.57561169e+01
3.69768627e-02, -2.71429138e+01
