[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -9.77096915e-01
1.98518834e-03, -1.23438501e+00
2.28990056e-03, -1.57204926e+00
2.60417908e-03, -1.97811174e+00
2.93083163e-03, -2.46295762e+00
3.27328406e-03, -3.02779245e+00
3.63449287e-03, -3.65066957e+00
4.01666388e-03, -4.28305912e+00
4.41987719e-03, -4.94663095e+00
4.82933270e-03, -5.52404022e+00
5.25433011e-03, -6.06620455e+00
5.69314370e-03, -6.65261936e+00
6.14420045e-03, -7.27989960e+00
6.60609081e-03, -7.94315624e+00
7.07758404e-03, -8.64198494e+00
7.55742937e-03, -9.38333130e+00
8.04443471e-03, -1.01824780e+01
8.53745546e-03, -1.10472841e+01
9.03528649e-03, -1.20010891e+01
9.56505444e-03, -1.30351171e+01
1.00972131e-02, -1.41818743e+01
1.06299762e-02, -1.54116516e+01
1.11612603e-02, -1.66957092e+01
1.16886348e-02, -1.79735298e+01
1.22092664e-02, -1.91133499e+01
1.27204731e-02, -1.99900455e+01
1.32203046e-02, -2.07286663e+01
1.37072857e-02, -2.13082142e+01
1.41804535e-02, -2.16623955e+01
1.46393068e-02, -2.18318577e+01
1.50835933e-02, -2.19330196e+01
1.55135337e-02, -2.20176449e+01
1.59295425e-02, -2.20980930e+01
1.63321309e-02, -2.21552715e+01
1.67218409e-02, -2.22019615e+01
1.70993488e-02, -2.22373848e+01
1.75232328e-02, -2.21972618e+01
1.79327000e-02, -2.22314987e+01
1.83287337e-02, -2.23156700e+01
1.87123641e-02, -2.24393692e+01
1.90844648e-02, -2.26099625e+01
1.94453336e-02, -2.28171825e+01
1.97951626e-02, -2.30323639e+01
2.01342255e-02, -2.32302494e+01
2.04628706e-02, -2.33933449e+01
2.07815096e-02, -2.35162468e+01
2.10905802e-02, -2.35951176e+01
2.13906914e-02, -2.36305466e+01
2.16824412e-02, -2.36291924e+01
2.19664853e-02, -2.35971680e+01
2.22434644e-02, -2.35400753e+01
2.25141179e-02, -2.34660988e+01
2.27792170e-02, -2.33899269e+01
2.30394881e-02, -2.33295956e+01
2.32955273e-02, -2.33010693e+01
2.35474892e-02, -2.33094635e+01
2.37953663e-02, -2.33439026e+01
2.40392666e-02, -2.33905716e+01
2.42791809e-02, -2.34419289e+01
2.45152097e-02, -2.34937725e+01
2.47473307e-02, -2.35454788e+01
2.49756370e-02, -2.35961075e+01
2.52001472e-02, -2.36465759e+01
2.54208837e-02, -2.36947231e+01
2.56379023e-02, -2.37384224e+01
2.58512422e-02, -2.37758389e+01
2.60608979e-02, -2.38039570e+01
2.62669288e-02, -2.38192787e+01
2.64693685e-02, -2.38183727e+01
2.66683269e-02, -2.38004513e+01
2.68639680e-02, -2.37684269e+01
2.70564631e-02, -2.37261791e+01
2.72459872e-02, -2.36764278e+01
2.74327118e-02, -2.36209602e+01
2.76168156e-02, -2.35604801e+01
2.77984757e-02, -2.34955807e+01
2.79778671e-02, -2.34272614e+01
2.81551685e-02, -2.33563118e+01
2.83305682e-02, -2.32839699e+01
2.85042431e-02, -2.32122440e+01
2.86763683e-02, -2.31437588e+01
2.88471319e-02, -2.30817871e+01
2.90166140e-02, -2.30285416e+01
2.91848313e-02, -2.29831791e+01
2.93518025e-02, -2.29432106e+01
2.95175333e-02, -2.29063301e+01
2.96820365e-02, -2.28707504e+01
2.98453253e-02, -2.28351707e+01
3.00074127e-02, -2.27983246e+01
3.01683117e-02, -2.27590675e+01
3.03280316e-02, -2.27164154e+01
3.04865856e-02, -2.26695843e+01
3.06439959e-02, -2.26181126e+01
3.08002513e-02, -2.25613728e+01
3.09553891e-02, -2.24994049e+01
3.11094020e-02, -2.24325809e+01
3.12623270e-02, -2.23606415e+01
3.14141922e-02, -2.22832794e+01
3.15650925e-02, -2.22014122e+01
3.17150950e-02, -2.21161575e+01
3.18642855e-02, -2.20283661e+01
3.20127420e-02, -2.19388313e+01
3.21605355e-02, -2.18481121e+01
3.23077552e-02, -2.17566776e+01
3.24544683e-02, -2.16649685e+01
3.26007567e-02, -2.15737495e+01
3.27466987e-02, -2.14839592e+01
3.28923762e-02, -2.13965302e+01
3.30378637e-02, -2.13125019e+01
3.31832394e-02, -2.12331982e+01
3.33285779e-02, -2.11596985e+01
3.34738977e-02, -2.10921135e+01
3.36192027e-02, -2.10292091e+01
3.37645039e-02, -2.09695187e+01
3.39098051e-02, -2.09126472e+01
3.40551026e-02, -2.08580399e+01
3.42004187e-02, -2.08053951e+01
3.43457460e-02, -2.07545853e+01
3.44910994e-02, -2.07053871e+01
3.46364677e-02, -2.06577759e+01
3.47818732e-02, -2.06120415e+01
3.49273160e-02, -2.05685196e+01
3.50727960e-02, -2.05275517e+01
3.52183282e-02, -2.04894848e+01
3.53639089e-02, -2.04549561e+01
3.55095156e-02, -2.04242134e+01
3.56551372e-02, -2.03973465e+01
3.58007327e-02, -2.03749199e+01
3.59462798e-02, -2.03580151e+01
3.60917486e-02, -2.03482933e+01
3.62371244e-02, -2.03464203e+01
3.63823697e-02, -2.03544369e+01
3.65274772e-02, -2.03896275e+01
3.66724543e-02, -2.04766483e+01
3.68173271e-02, -2.06628323e+01
3.69619615e-02, -2.11302643e+01
3.69724520e-02, -2.22659664e+01
3.69768627e-02, -2.19041920e+01
3.69753577e-02, -2.10007229e+01
3.69679928e-02, -2.06081619e+01
3.69548276e-02, -2.04216480e+01
3.69359553e-02, -2.03050175e+01
3.69115248e-02, -2.02241516e+01
3.68816704e-02, -2.01710739e+01
3.68504301e-02, -2.01492138e+01
3.68154980e-02, -2.01410503e+01
3.67769524e-02, -2.01266327e+01
3.67347933e-02, -2.00974941e+01
3.66896056e-02, -2.00477695e+01
3.66416574e-02, -1.99650669e+01
3.65910344e-02, -1.98575020e+01
3.65382545e-02, -1.97586002e+01
3.64836752e-02, -1.97085419e+01
3.64275761e-02, -1.97225304e+01
3.63703445e-02, -1.97744102e+01
3.63123789e-02, -1.98725109e+01
3.62540521e-02, -1.99848251e+01
3.61957476e-02, -2.00716782e+01
3.61378305e-02, -2.01273689e+01
3.60806547e-02, -2.01644669e+01
3.60205323e-02, -2.01908073e+01
3.59621681e-02, -2.02212391e+01
3.59059833e-02, -2.02775307e+01
3.58524919e-02, -2.03750038e+01
3.58021669e-02, -2.05232048e+01
3.57551761e-02, -2.07709236e+01
3.57119776e-02, -2.11730785e+01
3.56731042e-02, -2.23974056e+01
3.56384590e-02, -2.37627487e+01
3.56086195e-02, -2.30951748e+01
3.55835445e-02, -2.08700104e+01
3.53441723e-02, -1.91730175e+01
3.51056270e-02, -1.80754070e+01
3.48679721e-02, -1.72192554e+01
3.46312486e-02, -1.64557724e+01
3.43953520e-02, -1.57385263e+01
3.41601260e-02, -1.50452137e+01
3.39254215e-02, -1.43647690e+01
3.36910896e-02, -1.36921482e+01
3.34569141e-02, -1.30282784e+01
3.32225785e-02, -1.23761311e+01
3.29877511e-02, -1.17382650e+01
3.27521004e-02, -1.11169720e+01
3.25153060e-02, -1.05137844e+01
3.22770290e-02, -9.92986965e+00
3.20369527e-02, -9.36684418e+00
3.17947343e-02, -8.82623005e+00
3.15500684e-02, -8.30929470e+00
3.13026197e-02, -7.81703520e+00
3.10521070e-02, -7.34924698e+00
3.07983309e-02, -6.90452957e+00
3.05411015e-02, -6.48163080e+00
3.02802399e-02, -6.07992840e+00
3.00155748e-02, -5.69931269e+00
2.97468845e-02, -5.33895254e+00
2.94740312e-02, -4.99779654e+00
2.91968249e-02, -4.67572546e+00
2.89150812e-02, -4.37248802e+00
2.86286417e-02, -4.08724976e+00
2.83373948e-02, -3.81858397e+00
2.80412603e-02, -3.56534123e+00
2.77401395e-02, -3.32707405e+00
2.74339020e-02, -3.10270548e+00
2.71225125e-02, -2.89159656e+00
2.68058125e-02, -2.69301510e+00
2.64837667e-02, -2.50593066e+00
2.61562802e-02, -2.32990432e+00
2.58232336e-02, -2.16443825e+00
2.54845433e-02, -2.00877857e+00
2.51400918e-02, -1.86248684e+00
2.47897580e-02, -1.72529030e+00
2.44334172e-02, -1.59668672e+00
2.40709558e-02, -1.47616076e+00
2.37022620e-02, -1.36344421e+00
2.33272072e-02, -1.25831985e+00
2.29456704e-02, -1.16049397e+00
2.25575790e-02, -1.07004309e+00
2.21628658e-02, -9.86796916e-01
