[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -8.21844518e-01
1.98518834e-03, -1.03740704e+00
2.28990056e-03, -1.32741058e+00
2.60417908e-03, -1.68617690e+00
2.93083163e-03, -2.12325144e+00
3.27328406e-03, -2.64125943e+00
3.63449287e-03, -3.22960496e+00
4.01666388e-03, -3.84766388e+00
4.41987719e-03, -4.48796415e+00
4.82933270e-03, -5.07020664e+00
5.25433011e-03, -5.62331343e+00
5.69314370e-03, -6.19359112e+00
6.14420045e-03, -6.78800917e+00
6.60609081e-03, -7.41426611e+00
7.07758404e-03, -8.07630920e+00
7.55742937e-03, -8.77630711e+00
8.04443471e-03, -9.52589798e+00
8.53745546e-03, -1.03283100e+01
9.03528649e-03, -1.11975031e+01
9.56505444e-03, -1.21697779e+01
1.00972131e-02, -1.32472935e+01
1.06299762e-02, -1.44070892e+01
1.11612603e-02, -1.56250277e+01
1.16886348e-02, -1.68710613e+01
1.22092664e-02, -1.80518208e+01
1.27204731e-02, -1.90261478e+01
1.32203046e-02, -1.97974548e+01
1.37072857e-02, -2.04890747e+01
1.41804535e-02, -2.10133762e+01
1.46393068e-02, -2.13857021e+01
1.50835933e-02, -2.16692619e+01
1.55135337e-02, -2.18819180e+01
1.59295425e-02, -2.20398693e+01
1.63321309e-02, -2.21644230e+01
1.67218409e-02, -2.22501793e+01
1.70993488e-02, -2.23293228e+01
1.75232328e-02, -2.23837662e+01
1.79327000e-02, -2.24676571e+01
1.83287337e-02, -2.25530319e+01
1.87123641e-02, -2.26574841e+01
1.90844648e-02, -2.27964573e+01
1.94453336e-02, -2.29757824e+01
1.97951626e-02, -2.31782990e+01
2.01342255e-02, -2.33779163e+01
2.04628706e-02, -2.35560226e+01
2.07815096e-02, -2.37094517e+01
2.10905802e-02, -2.38306484e+01
2.13906914e-02, -2.39124737e+01
2.16824412e-02, -2.39596462e+01
2.19664853e-02, -2.39748154e+01
2.22434644e-02, -2.39611092e+01
2.25141179e-02, -2.39247227e+01
2.27792170e-02, -2.38757954e+01
2.30394881e-02, -2.38294621e+01
2.32955273e-02, -2.38019848e+01
2.35474892e-02, -2.38032780e+01
2.37953663e-02, -2.38265266e+01
2.40392666e-02, -2.38632965e+01
2.42791809e-02, -2.39080067e+01
2.45152097e-02, -2.39567833e+01
2.47473307e-02, -2.40081501e+01
2.49756370e-02, -2.40597858e+01
2.52001472e-02, -2.41125851e+01
2.54208837e-02, -2.41616211e+01
2.56379023e-02, -2.42048054e+01
2.58512422e-02, -2.42435646e+01
2.60608979e-02, -2.42784405e+01
2.62669288e-02, -2.43042870e+01
2.64693685e-02, -2.43148956e+01
2.66683269e-02, -2.43119965e+01
2.68639680e-02, -2.42957897e+01
2.70564631e-02, -2.42652721e+01
2.72459872e-02, -2.42252789e+01
2.74327118e-02, -2.41787186e+01
2.76168156e-02, -2.41247044e+01
2.77984757e-02, -2.40641785e+01
2.79778671e-02, -2.40009537e+01
2.81551685e-02, -2.39349995e+01
2.83305682e-02, -2.38654423e+01
2.85042431e-02, -2.37968655e+01
2.86763683e-02, -2.37308121e+01
2.88471319e-02, -2.36676750e+01
2.90166140e-02, -2.36111126e+01
2.91848313e-02, -2.35628815e+01
2.93518025e-02, -2.35209274e+01
2.95175333e-02, -2.34813309e+01
2.96820365e-02, -2.34425697e+01
2.98453253e-02, -2.34052200e+01
3.00074127e-02, -2.33690472e+01
3.01683117e-02, -2.33318958e+01
3.03280316e-02, -2.32922611e+01
3.04865856e-02, -2.32501297e+01
3.06439959e-02, -2.32061234e+01
3.08002513e-02, -2.31585293e+01
3.09553891e-02, -2.31058540e+01
3.11094020e-02, -2.30483875e+01
3.12623270e-02, -2.29859867e+01
3.14141922e-02, -2.29177666e+01
3.15650925e-02, -2.28439140e+01
3.17150950e-02, -2.27659225e+01
3.18642855e-02, -2.26849003e+01
3.20127420e-02, -2.26017189e+01
3.21605355e-02, -2.25168514e+01
3.23077552e-02, -2.24311619e+01
3.24544683e-02, -2.23451862e+01
3.26007567e-02, -2.22593555e+01
3.27466987e-02, -2.21741390e+01
3.28923762e-02, -2.20889969e+01
3.30378637e-02, -2.20053749e+01
3.31832394e-02, -2.19260025e+01
3.33285779e-02, -2.18519382e+01
3.34738977e-02, -2.17832985e+01
3.36192027e-02, -2.17185307e+01
3.37645039e-02, -2.16557293e+01
3.39098051e-02, -2.15964546e+01
3.40551026e-02, -2.15419083e+01
3.42004187e-02, -2.14908714e+01
3.43457460e-02, -2.14422951e+01
3.44910994e-02, -2.13938046e+01
3.46364677e-02, -2.13455677e+01
3.47818732e-02, -2.13007088e+01
3.49273160e-02, -2.12599716e+01
3.50727960e-02, -2.12208748e+01
3.52183282e-02, -2.11827641e+01
3.53639089e-02, -2.11490746e+01
3.55095156e-02, -2.11216526e+01
3.56551372e-02, -2.10988464e+01
3.58007327e-02, -2.10798702e+01
3.59462798e-02, -2.10689068e+01
3.60917486e-02, -2.10677128e+01
3.62371244e-02, -2.10770149e+01
3.63823697e-02, -2.11069260e+01
3.65274772e-02, -2.11667061e+01
3.66724543e-02, -2.13011227e+01
3.68173271e-02, -2.14728661e+01
3.69619615e-02, -2.24335861e+01
3.69724520e-02, -2.42909966e+01
3.69768627e-02, -2.44854736e+01
3.69753577e-02, -2.38900356e+01
3.69679928e-02, -2.30084839e+01
3.69548276e-02, -2.25369148e+01
3.69359553e-02, -2.22106438e+01
3.69115248e-02, -2.19606266e+01
3.68816704e-02, -2.17838364e+01
3.68504301e-02, -2.17114296e+01
3.68154980e-02, -2.17104588e+01
3.67769524e-02, -2.17283955e+01
3.67347933e-02, -2.16927681e+01
3.66896056e-02, -2.15873508e+01
3.66416574e-02, -2.13459015e+01
3.65910344e-02, -2.09485493e+01
3.65382545e-02, -2.05294189e+01
3.64836752e-02, -2.03042850e+01
3.64275761e-02, -2.03579903e+01
3.63703445e-02, -2.05724983e+01
3.63123789e-02, -2.09898911e+01
3.62540521e-02, -2.14005337e+01
3.61957476e-02, -2.16664925e+01
3.61378305e-02, -2.17963009e+01
3.60806547e-02, -2.18681774e+01
3.60205323e-02, -2.19393826e+01
3.59621681e-02, -2.20672474e+01
3.59059833e-02, -2.23115349e+01
3.58524919e-02, -2.26813240e+01
3.58021669e-02, -2.32134838e+01
3.57551761e-02, -2.39287224e+01
3.57119776e-02, -2.51941643e+01
3.56731042e-02, -2.69611168e+01
3.56384590e-02, -2.72032318e+01
3.56086195e-02, -2.54304371e+01
3.55835445e-02, -2.18875942e+01
3.53441723e-02, -1.93519764e+01
3.51056270e-02, -1.83390217e+01
3.48679721e-02, -1.74306965e+01
3.46312486e-02, -1.66366348e+01
3.43953520e-02, -1.58898144e+01
3.41601260e-02, -1.51714144e+01
3.39254215e-02, -1.44694118e+01
3.36910896e-02, -1.37771654e+01
3.34569141e-02, -1.30965433e+01
3.32225785e-02, -1.24314375e+01
3.29877511e-02, -1.17820120e+01
3.27521004e-02, -1.11498051e+01
3.25153060e-02, -1.05383434e+01
3.22770290e-02, -9.94733715e+00
3.20369527e-02, -9.37756729e+00
3.17947343e-02, -8.83212948e+00
3.15500684e-02, -8.31134796e+00
3.13026197e-02, -7.81532764e+00
3.10521070e-02, -7.34433126e+00
3.07983309e-02, -6.89673090e+00
3.05411015e-02, -6.47096920e+00
3.02802399e-02, -6.06694603e+00
3.00155748e-02, -5.68463898e+00
2.97468845e-02, -5.32296801e+00
2.94740312e-02, -4.98093081e+00
2.91968249e-02, -4.65844011e+00
2.89150812e-02, -4.35516357e+00
2.86286417e-02, -4.06997681e+00
2.83373948e-02, -3.80143142e+00
2.80412603e-02, -3.54848647e+00
2.77401395e-02, -3.31062126e+00
2.74339020e-02, -3.08681679e+00
2.71225125e-02, -2.87636852e+00
2.68058125e-02, -2.67842746e+00
2.64837667e-02, -2.49202728e+00
2.61562802e-02, -2.31686139e+00
2.58232336e-02, -2.15222120e+00
2.54845433e-02, -1.99743307e+00
2.51400918e-02, -1.85212946e+00
2.47897580e-02, -1.71593404e+00
2.44334172e-02, -1.58837450e+00
2.40709558e-02, -1.46892571e+00
2.37022620e-02, -1.35734713e+00
2.33272072e-02, -1.25344634e+00
2.29456704e-02, -1.15699136e+00
2.25575790e-02, -1.06793416e+00
2.21628658e-02, -9.85898495e-01
2.17616260e-02, -9.09716189e-01
2.13541035e-02, -8.38127434e-01
2.09406074e-02, -7.70484746e-01
2.05213130e-02, -7.06499338e-01
2.00964995e-02, -6.45444989e-01
1.96664128e-02, -5.86525619e-01
1.92312337e-02, -5.28634250e-01
1.87912639e-02, -4.73122776e-01
1.82577297e-02, -4.09321100e-01
1.77178197e-02, -3.49150509e-01
1.71714611e-02, -2.91508526e-01
1.66184753e-02, -2.36732006e-01
1.60588138e-02, -1.84768468e-01
1.54923731e-02, -1.35854155e-01
1.49190025e-02, -9.00677890e-02
1.43386461e-02, -4.76150103e-02
1.37512218e-02, -8.97703040e-03
1.31567344e-02, 2.61086356e-02
1.25556691e-02, 5.91294095e-02
1.19488351e-02, 9.10214931e-02
1.13369599e-02, 1.22344859e-01
1.07207345e-02, 1.53602600e-01
1.01008555e-02, 1.85372189e-01
9.47802048e-03, 2.18274847e-01
8.85287020e-03, 2.52590537e-01
8.22584610e-03, 2.88345546e-01
7.59710371e-03, 3.25447977e-01
6.96675340e-03, 3.63311648e-01
6.33493019e-03, 3.99924099e-01
5.70175517e-03, 4.34134811e-01
5.38443029e-03, 4.52373236e-01
5.06681064e-03, 4.72873420e-01
4.74891486e-03, 4.93666708e-01
4.43075690e-03, 5.14770567e-01
4.11235169e-03, 5.36215723e-01
3.79368803e-03, 5.57870865e-01
3.47466604e-03, 5.79324722e-01
3.15514882e-03, 6.00096107e-01
2.83499924e-03, 6.19852602e-01
2.51419446e-03, 6.38965964e-01
2.19340133e-03, 6.56845689e-01
1.87361846e-03, 6.71759248e-01
1.55594409e-03, 6.88685238e-01
1.24607550e-03, 7.22467244e-01
9.57472832e-04, 7.85988927e-01
7.04973878e-04, 8.69162083e-01
4.92183084e-04, 9.44504380e-01
3.16819118e-04, 9.97539759e-01
1.76186091e-04, 1.02188098e+00
6.97391661e-05, 1.02993488e+00
-1.13698832e-06, 1.00859046e+00
9.13458371e-06, 8.96661878e-01
8.14504601e-05, 7.68918574e-01
1.88511272e-04, 6.39521599e-01
3.12563585e-04, 4.84514683e-01
4.58774099e-04, 2.69704640e-01
6.37591525e-04, -5.99343656e-03
8.58152169e-04, -2.91666001e-01
1.11645553e-03, -5.12596309e-01
1.39756035e-03, -6.67870104e-01


