[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -9.59052026e-01
1.98518834e-03, -1.20459270e+00
2.28990056e-03, -1.52841508e+00
2.60417908e-03, -1.92148805e+00
2.93083163e-03, -2.39446425e+00
3.27328406e-03, -2.95004725e+00
3.63449287e-03, -3.56795025e+00
4.01666388e-03, -4.20149851e+00
4.41987719e-03, -4.84630251e+00
4.82933270e-03, -5.43801069e+00
5.25433011e-03, -5.99112511e+00
5.69314370e-03, -6.57303619e+00
6.14420045e-03, -7.19255209e+00
6.60609081e-03, -7.84948063e+00
7.07758404e-03, -8.54185772e+00
7.55742937e-03, -9.27456951e+00
8.04443471e-03, -1.00623837e+01
8.53745546e-03, -1.09130611e+01
9.03528649e-03, -1.18507481e+01
9.56505444e-03, -1.28680859e+01
1.00972131e-02, -1.39932890e+01
1.06299762e-02, -1.51997366e+01
1.11612603e-02, -1.64609756e+01
1.16886348e-02, -1.77274113e+01
1.22092664e-02, -1.88578987e+01
1.27204731e-02, -1.97381725e+01
1.32203046e-02, -2.04722691e+01
1.37072857e-02, -2.10788403e+01
1.41804535e-02, -2.14778175e+01
1.46393068e-02, -2.16988049e+01
1.50835933e-02, -2.18395004e+01
1.55135337e-02, -2.19451027e+01
1.59295425e-02, -2.20397835e+01
1.63321309e-02, -2.21111946e+01
1.67218409e-02, -2.21728630e+01
1.70993488e-02, -2.22250576e+01
1.75232328e-02, -2.22084961e+01
1.79327000e-02, -2.22589321e+01
1.83287337e-02, -2.23516750e+01
1.87123641e-02, -2.24781952e+01
1.90844648e-02, -2.26471882e+01
1.94453336e-02, -2.28506317e+01
1.97951626e-02, -2.30625725e+01
2.01342255e-02, -2.32592640e+01
2.04628706e-02, -2.34250202e+01
2.07815096e-02, -2.35545120e+01
2.10905802e-02, -2.36426773e+01
2.13906914e-02, -2.36893349e+01
2.16824412e-02, -2.37000675e+01
2.19664853e-02, -2.36803474e+01
2.22434644e-02, -2.36354313e+01
2.25141179e-02, -2.35726814e+01
2.27792170e-02, -2.35056934e+01
2.30394881e-02, -2.34515686e+01
2.32955273e-02, -2.34257698e+01
2.35474892e-02, -2.34333916e+01
2.37953663e-02, -2.34645901e+01
2.40392666e-02, -2.35070553e+01
2.42791809e-02, -2.35543365e+01
2.45152097e-02, -2.36028214e+01
2.47473307e-02, -2.36518440e+01
2.49756370e-02, -2.37000980e+01
2.52001472e-02, -2.37482891e+01
2.54208837e-02, -2.37940845e+01
2.56379023e-02, -2.38354874e+01
2.58512422e-02, -2.38708725e+01
2.60608979e-02, -2.38973293e+01
2.62669288e-02, -2.39116306e+01
2.64693685e-02, -2.39106979e+01
2.66683269e-02, -2.38937378e+01
2.68639680e-02, -2.38632832e+01
2.70564631e-02, -2.38225555e+01
2.72459872e-02, -2.37741394e+01
2.74327118e-02, -2.37198925e+01
2.76168156e-02, -2.36604729e+01
2.77984757e-02, -2.35965748e+01
2.79778671e-02, -2.35293217e+01
2.81551685e-02, -2.34594955e+01
2.83305682e-02, -2.33881264e+01
2.85042431e-02, -2.33170395e+01
2.86763683e-02, -2.32486401e+01
2.88471319e-02, -2.31862717e+01
2.90166140e-02, -2.31322670e+01
2.91848313e-02, -2.30857162e+01
2.93518025e-02, -2.30442886e+01
2.95175333e-02, -2.30057354e+01
2.96820365e-02, -2.29683781e+01
2.98453253e-02, -2.29312439e+01
3.00074127e-02, -2.28931599e+01
3.01683117e-02, -2.28530483e+01
3.03280316e-02, -2.28098221e+01
3.04865856e-02, -2.27625942e+01
3.06439959e-02, -2.27110214e+01
3.08002513e-02, -2.26545334e+01
3.09553891e-02, -2.25930786e+01
3.11094020e-02, -2.25268650e+01
3.12623270e-02, -2.24555912e+01
3.14141922e-02, -2.23790302e+01
3.15650925e-02, -2.22981567e+01
3.17150950e-02, -2.22141056e+01
3.18642855e-02, -2.21276207e+01
3.20127420e-02, -2.20394211e+01
3.21605355e-02, -2.19499664e+01
3.23077552e-02, -2.18597240e+01
3.24544683e-02, -2.17691422e+01
3.26007567e-02, -2.16790276e+01
3.27466987e-02, -2.15902081e+01
3.28923762e-02, -2.15035629e+01
3.30378637e-02, -2.14201660e+01
