[Name]
Series 1 at airfoil

[Data]
X [ m ],Cp
1.68829411e-03, -9.67793822e-01
1.98518834e-03, -1.22228432e+00
2.28990056e-03, -1.55496752e+00
2.60417908e-03, -1.95565152e+00
2.93083163e-03, -2.43589234e+00
3.27328406e-03, -2.99624109e+00
3.63449287e-03, -3.61661315e+00
4.01666388e-03, -4.24715185e+00
4.41987719e-03, -4.90284872e+00
4.82933270e-03, -5.48018837e+00
5.25433011e-03, -6.02364731e+00
5.69314370e-03, -6.60829496e+00
6.14420045e-03, -7.23066711e+00
6.60609081e-03, -7.88846016e+00
7.07758404e-03, -8.58131599e+00
7.55742937e-03, -9.31589127e+00
8.04443471e-03, -1.01069965e+01
8.53745546e-03, -1.09626875e+01
9.03528649e-03, -1.19061232e+01
9.56505444e-03, -1.29278574e+01
1.00972131e-02, -1.40620031e+01
1.06299762e-02, -1.52821026e+01
1.11612603e-02, -1.65557690e+01
1.16886348e-02, -1.78398094e+01
1.22092664e-02, -1.89781456e+01
1.27204731e-02, -1.98491879e+01
1.32203046e-02, -2.05907974e+01
1.37072857e-02, -2.11863537e+01
1.41804535e-02, -2.15623894e+01
1.46393068e-02, -2.17779102e+01
1.50835933e-02, -2.19149857e+01
1.55135337e-02, -2.20134945e+01
1.59295425e-02, -2.20991840e+01
1.63321309e-02, -2.21640301e+01
1.67218409e-02, -2.22207890e+01
1.70993488e-02, -2.22686424e+01
1.75232328e-02, -2.22400780e+01
1.79327000e-02, -2.22832050e+01
1.83287337e-02, -2.23693829e+01
1.87123641e-02, -2.24906940e+01
1.90844648e-02, -2.26571693e+01
1.94453336e-02, -2.28585987e+01
1.97951626e-02, -2.30671425e+01
2.01342255e-02, -2.32578030e+01
2.04628706e-02, -2.34140797e+01
2.07815096e-02, -2.35292358e+01
2.10905802e-02, -2.35994587e+01
2.13906914e-02, -2.36259880e+01
2.16824412e-02, -2.36135006e+01
2.19664853e-02, -2.35693378e+01
2.22434644e-02, -2.34995556e+01
2.25141179e-02, -2.34123745e+01
2.27792170e-02, -2.33221855e+01
2.30394881e-02, -2.32482624e+01
2.32955273e-02, -2.32072945e+01
2.35474892e-02, -2.32045383e+01
2.37953663e-02, -2.32278538e+01
2.40392666e-02, -2.32642708e+01
2.42791809e-02, -2.33064365e+01
2.45152097e-02, -2.33511982e+01
2.47473307e-02, -2.33973808e+01
2.49756370e-02, -2.34436169e+01
2.52001472e-02, -2.34904118e+01
2.54208837e-02, -2.35351505e+01
2.56379023e-02, -2.35758114e+01
2.58512422e-02, -2.36108341e+01
2.60608979e-02, -2.36365433e+01
2.62669288e-02, -2.36495495e+01
2.64693685e-02, -2.36469078e+01
2.66683269e-02, -2.36272850e+01
2.68639680e-02, -2.35941124e+01
2.70564631e-02, -2.35511169e+01
2.72459872e-02, -2.35005074e+01
2.74327118e-02, -2.34438305e+01
2.76168156e-02, -2.33819256e+01
2.77984757e-02, -2.33155937e+01
2.79778671e-02, -2.32457333e+01
2.81551685e-02, -2.31732807e+01
2.83305682e-02, -2.30994473e+01
2.85042431e-02, -2.30258961e+01
2.86763683e-02, -2.29550610e+01
2.88471319e-02, -2.28908520e+01
2.90166140e-02, -2.28357258e+01
2.91848313e-02, -2.27881241e+01
2.93518025e-02, -2.27454510e+01
2.95175333e-02, -2.27055531e+01
2.96820365e-02, -2.26668034e+01
2.98453253e-02, -2.26280346e+01
3.00074127e-02, -2.25882931e+01
3.01683117e-02, -2.25465813e+01
3.03280316e-02, -2.25017586e+01
3.04865856e-02, -2.24527740e+01
3.06439959e-02, -2.23993397e+01
3.08002513e-02, -2.23409443e+01
3.09553891e-02, -2.22776585e+01
3.11094020e-02, -2.22096081e+01
3.12623270e-02, -2.21365337e+01
3.14141922e-02, -2.20582924e+01
