[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -8.02548645e+02
1.98518834e-03, -8.41059204e+02
2.28990056e-03, -8.80733643e+02
2.60417908e-03, -9.20566589e+02
2.93083163e-03, -9.59968567e+02
3.27328406e-03, -9.96811462e+02
3.63449287e-03, -1.02999841e+03
4.01666388e-03, -1.05684753e+03
4.41987719e-03, -1.06724121e+03
4.82933270e-03, -1.07528064e+03
5.25433011e-03, -1.08843030e+03
5.69314370e-03, -1.10262695e+03
6.14420045e-03, -1.11634167e+03
6.60609081e-03, -1.13015625e+03
7.07758404e-03, -1.14282751e+03
7.55742937e-03, -1.15441760e+03
8.04443471e-03, -1.16553870e+03
8.53745546e-03, -1.17364099e+03
9.03528649e-03, -1.18525073e+03
9.56505444e-03, -1.19269336e+03
1.00972131e-02, -1.19494543e+03
1.06299762e-02, -1.19346790e+03
1.11612603e-02, -1.18935498e+03
1.16886348e-02, -1.18476611e+03
1.22092664e-02, -1.17718872e+03
1.27204731e-02, -1.16893567e+03
1.32203046e-02, -1.15942688e+03
1.37072857e-02, -1.15746692e+03
1.41804535e-02, -1.16543774e+03
1.46393068e-02, -1.17760583e+03
1.50835933e-02, -1.18875793e+03
1.55135337e-02, -1.19765137e+03
1.59295425e-02, -1.20425256e+03
1.63321309e-02, -1.20996680e+03
1.67218409e-02, -1.21262476e+03
1.70993488e-02, -1.22069385e+03
1.75232328e-02, -1.22897693e+03
1.79327000e-02, -1.22613171e+03
1.83287337e-02, -1.22284570e+03
1.87123641e-02, -1.22003528e+03
1.90844648e-02, -1.21802234e+03
1.94453336e-02, -1.21538599e+03
1.97951626e-02, -1.21274292e+03
2.01342255e-02, -1.20962244e+03
2.04628706e-02, -1.20594373e+03
2.07815096e-02, -1.20334460e+03
2.10905802e-02, -1.20080713e+03
2.13906914e-02, -1.19875867e+03
2.16824412e-02, -1.19730042e+03
2.19664853e-02, -1.19625452e+03
2.22434644e-02, -1.19513440e+03
2.25141179e-02, -1.19354968e+03
2.27792170e-02, -1.19264746e+03
2.30394881e-02, -1.19128174e+03
2.32955273e-02, -1.19070557e+03
2.35474892e-02, -1.18947180e+03
2.37953663e-02, -1.18758960e+03
2.40392666e-02, -1.18613000e+03
2.42791809e-02, -1.18428931e+03
2.45152097e-02, -1.18317517e+03
2.47473307e-02, -1.18143933e+03
2.49756370e-02, -1.18062170e+03
2.52001472e-02, -1.17944556e+03
2.54208837e-02, -1.17843652e+03
2.56379023e-02, -1.17641101e+03
2.58512422e-02, -1.17514661e+03
2.60608979e-02, -1.17376074e+03
2.62669288e-02, -1.17300537e+03
2.64693685e-02, -1.17164478e+03
2.66683269e-02, -1.17074182e+03
2.68639680e-02, -1.16989258e+03
2.70564631e-02, -1.16907654e+03
2.72459872e-02, -1.16857129e+03
2.74327118e-02, -1.16797424e+03
2.76168156e-02, -1.16702161e+03
2.77984757e-02, -1.16617493e+03
2.79778671e-02, -1.16570850e+03
2.81551685e-02, -1.16525061e+03
2.83305682e-02, -1.16452930e+03
2.85042431e-02, -1.16371960e+03
2.86763683e-02, -1.16331885e+03
2.88471319e-02, -1.16282971e+03
2.90166140e-02, -1.16237000e+03
2.91848313e-02, -1.16187061e+03
2.93518025e-02, -1.16131494e+03
2.95175333e-02, -1.16056860e+03
2.96820365e-02, -1.15993420e+03
2.98453253e-02, -1.15923120e+03
3.00074127e-02, -1.15813391e+03
3.01683117e-02, -1.15739746e+03
3.03280316e-02, -1.15648315e+03
3.04865856e-02, -1.15535950e+03
3.06439959e-02, -1.15472595e+03
3.08002513e-02, -1.15344348e+03
3.09553891e-02, -1.15223596e+03
3.11094020e-02, -1.15142200e+03
3.12623270e-02, -1.14993579e+03
3.14141922e-02, -1.14849597e+03
3.15650925e-02, -1.14735266e+03
3.17150950e-02, -1.14615332e+03
3.18642855e-02, -1.14498877e+03
3.20127420e-02, -1.14347351e+03
