[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -7.78404236e+02
1.98518834e-03, -8.18166260e+02
2.28990056e-03, -8.57984924e+02
2.60417908e-03, -8.97596802e+02
2.93083163e-03, -9.35464233e+02
3.27328406e-03, -9.69746887e+02
3.63449287e-03, -9.99768616e+02
4.01666388e-03, -1.02446716e+03
4.41987719e-03, -1.04039221e+03
4.82933270e-03, -1.05305762e+03
5.25433011e-03, -1.06703406e+03
5.69314370e-03, -1.08105127e+03
6.14420045e-03, -1.09458057e+03
6.60609081e-03, -1.10805542e+03
7.07758404e-03, -1.12065247e+03
7.55742937e-03, -1.13244104e+03
8.04443471e-03, -1.14377380e+03
8.53745546e-03, -1.15304138e+03
9.03528649e-03, -1.16355615e+03
9.56505444e-03, -1.17086768e+03
1.00972131e-02, -1.17510547e+03
1.06299762e-02, -1.17642505e+03
1.11612603e-02, -1.17493384e+03
1.16886348e-02, -1.17137146e+03
1.22092664e-02, -1.16542981e+03
1.27204731e-02, -1.15930811e+03
1.32203046e-02, -1.15481152e+03
1.37072857e-02, -1.15450232e+03
1.41804535e-02, -1.16211169e+03
1.46393068e-02, -1.17301648e+03
1.50835933e-02, -1.18214783e+03
1.55135337e-02, -1.18916748e+03
1.59295425e-02, -1.19434631e+03
1.63321309e-02, -1.19862817e+03
1.67218409e-02, -1.20074707e+03
1.70993488e-02, -1.20349939e+03
1.75232328e-02, -1.20513489e+03
1.79327000e-02, -1.20253125e+03
1.83287337e-02, -1.20119531e+03
1.87123641e-02, -1.19990686e+03
1.90844648e-02, -1.19832434e+03
1.94453336e-02, -1.19549243e+03
1.97951626e-02, -1.19241113e+03
2.01342255e-02, -1.18900464e+03
2.04628706e-02, -1.18517175e+03
2.07815096e-02, -1.18187134e+03
2.10905802e-02, -1.17862439e+03
2.13906914e-02, -1.17589905e+03
2.16824412e-02, -1.17364490e+03
2.19664853e-02, -1.17178162e+03
2.22434644e-02, -1.17015698e+03
2.25141179e-02, -1.16818860e+03
2.27792170e-02, -1.16698352e+03
2.30394881e-02, -1.16544849e+03
2.32955273e-02, -1.16421082e+03
2.35474892e-02, -1.16231848e+03
2.37953663e-02, -1.16031458e+03
2.40392666e-02, -1.15868091e+03
2.42791809e-02, -1.15683789e+03
2.45152097e-02, -1.15553101e+03
2.47473307e-02, -1.15376965e+03
2.49756370e-02, -1.15276318e+03
2.52001472e-02, -1.15138892e+03
2.54208837e-02, -1.15046692e+03
2.56379023e-02, -1.14869531e+03
2.58512422e-02, -1.14743054e+03
2.60608979e-02, -1.14581787e+03
2.62669288e-02, -1.14479114e+03
2.64693685e-02, -1.14346240e+03
2.66683269e-02, -1.14249463e+03
2.68639680e-02, -1.14145642e+03
2.70564631e-02, -1.14067480e+03
2.72459872e-02, -1.14009839e+03
2.74327118e-02, -1.13938916e+03
2.76168156e-02, -1.13846863e+03
2.77984757e-02, -1.13769421e+03
2.79778671e-02, -1.13714832e+03
2.81551685e-02, -1.13666846e+03
2.83305682e-02, -1.13607605e+03
2.85042431e-02, -1.13522302e+03
2.86763683e-02, -1.13483301e+03
2.88471319e-02, -1.13441077e+03
2.90166140e-02, -1.13388721e+03
2.91848313e-02, -1.13322229e+03
2.93518025e-02, -1.13254395e+03
2.95175333e-02, -1.13183960e+03
2.96820365e-02, -1.13130115e+03
2.98453253e-02, -1.13063318e+03
3.00074127e-02, -1.12951831e+03
3.01683117e-02, -1.12886206e+03
3.03280316e-02, -1.12805432e+03
3.04865856e-02, -1.12701575e+03
3.06439959e-02, -1.12634436e+03
3.08002513e-02, -1.12516516e+03
3.09553891e-02, -1.12405432e+03
3.11094020e-02, -1.12336438e+03
3.12623270e-02, -1.12197815e+03
3.14141922e-02, -1.12077417e+03
3.15650925e-02, -1.11982568e+03
3.17150950e-02, -1.11877710e+03
3.18642855e-02, -1.11777148e+03
3.20127420e-02, -1.11641650e+03
3.21605355e-02, -1.11495715e+03
3.23077552e-02, -1.11339746e+03
3.24544683e-02, -1.11256006e+03
3.26007567e-02, -1.11129968e+03
3.27466987e-02, -1.11008423e+03
3.28923762e-02, -1.10835327e+03
3.30378637e-02, -1.10712610e+03
3.31832394e-02, -1.10570349e+03
3.33285779e-02, -1.10408630e+03
3.34738977e-02, -1.10313013e+03
3.36192027e-02, -1.10118640e+03
3.37645039e-02, -1.09975720e+03
3.39098051e-02, -1.09790625e+03
3.40551026e-02, -1.09541833e+03
3.42004187e-02, -1.09379565e+03
3.43457460e-02, -1.09164600e+03
3.44910994e-02, -1.09055762e+03
3.46364677e-02, -1.08887000e+03
3.47818732e-02, -1.08609180e+03
3.49273160e-02, -1.08352234e+03
3.50727960e-02, -1.08150085e+03
3.52183282e-02, -1.07941699e+03
3.53639089e-02, -1.07671814e+03
3.55095156e-02, -1.07403967e+03
3.56551372e-02, -1.07164233e+03
3.58007327e-02, -1.06974451e+03
3.59462798e-02, -1.06742456e+03
3.60917486e-02, -1.06522021e+03
3.62371244e-02, -1.06396790e+03
3.63823697e-02, -1.06442542e+03
3.65274772e-02, -1.06680042e+03
3.66724543e-02, -1.07520923e+03
3.68173271e-02, -1.09680188e+03
3.69619615e-02, -1.10098254e+03
3.69724520e-02, -1.01803705e+03
3.69768627e-02, -9.89252502e+02
3.69753577e-02, -1.01272913e+03
3.69679928e-02, -1.04687622e+03
3.69548276e-02, -1.03885095e+03
3.69359553e-02, -9.95228394e+02
3.69115248e-02, -9.05755127e+02
3.68816704e-02, -8.95027954e+02
3.68504301e-02, -1.02528381e+03
3.68154980e-02, -1.10158484e+03
3.67769524e-02, -1.21777490e+03
3.67347933e-02, -1.33622546e+03
3.66896056e-02, -1.43187610e+03
3.66416574e-02, -1.52689063e+03
3.65910344e-02, -1.63800085e+03
3.65382545e-02, -1.75873120e+03
3.64836752e-02, -1.87088745e+03
3.64275761e-02, -1.90641931e+03
3.63703445e-02, -1.81200793e+03
3.63123789e-02, -1.70702490e+03
3.62540521e-02, -1.62397949e+03
3.61957476e-02, -1.55371960e+03
3.61378305e-02, -1.50075818e+03
3.60806547e-02, -1.44036426e+03
3.60205323e-02, -1.36799658e+03
3.59621681e-02, -1.26030737e+03
3.59059833e-02, -1.07661023e+03
3.58524919e-02, -1.10184119e+03
3.58021669e-02, -1.15349060e+03
3.57551761e-02, -1.11116785e+03
3.57119776e-02, -9.62918884e+02
3.56731042e-02, -8.11062805e+02
3.56384590e-02, -7.73947144e+02
3.56086195e-02, -9.05048767e+02
3.55835445e-02, -1.11135608e+03
3.53441723e-02, -1.17709912e+03
3.51056270e-02, -1.17388062e+03
3.48679721e-02, -1.16702222e+03
3.46312486e-02, -1.16368567e+03
3.43953520e-02, -1.16164392e+03
3.41601260e-02, -1.15853918e+03
3.39254215e-02, -1.15444531e+03
3.36910896e-02, -1.15033337e+03
3.34569141e-02, -1.14478540e+03
3.32225785e-02, -1.13771423e+03
3.29877511e-02, -1.12906018e+03
3.27521004e-02, -1.12000977e+03
3.25153060e-02, -1.11003137e+03
3.22770290e-02, -1.09871155e+03
3.20369527e-02, -1.08738184e+03
3.17947343e-02, -1.07471948e+03
3.15500684e-02, -1.06133264e+03
3.13026197e-02, -1.04747668e+03
3.10521070e-02, -1.03353711e+03
3.07983309e-02, -1.01920685e+03
3.05411015e-02, -1.00414459e+03
3.02802399e-02, -9.89485962e+02
3.00155748e-02, -9.74663025e+02
2.97468845e-02, -9.59169434e+02
2.94740312e-02, -9.43852356e+02
2.91968249e-02, -9.28554993e+02
2.89150812e-02, -9.13315918e+02
2.86286417e-02, -8.98182556e+02
2.83373948e-02, -8.83369690e+02
2.80412603e-02, -8.68730164e+02
2.77401395e-02, -8.54201050e+02
2.74339020e-02, -8.40014282e+02
2.71225125e-02, -8.25972656e+02
2.68058125e-02, -8.12219116e+02
2.64837667e-02, -7.98906128e+02
2.61562802e-02, -7.85678406e+02
2.58232336e-02, -7.72765503e+02
2.54845433e-02, -7.60565918e+02
2.51400918e-02, -7.48196594e+02
2.47897580e-02, -7.36476257e+02
2.44334172e-02, -7.25035950e+02
2.40709558e-02, -7.14064514e+02
2.37022620e-02, -7.03402832e+02
2.33272072e-02, -6.93542786e+02
2.29456704e-02, -6.83991272e+02
2.25575790e-02, -6.74829346e+02
2.21628658e-02, -6.66284973e+02
2.17616260e-02, -6.58273926e+02
2.13541035e-02, -6.50469543e+02
2.09406074e-02, -6.43533142e+02
2.05213130e-02, -6.36463867e+02
2.00964995e-02, -6.29921143e+02
1.96664128e-02, -6.23193237e+02
1.92312337e-02, -6.16936218e+02
1.87912639e-02, -6.10904785e+02
1.82577297e-02, -6.05088196e+02
1.77178197e-02, -5.98443054e+02
1.71714611e-02, -5.92045776e+02
1.66184753e-02, -5.85681030e+02
1.60588138e-02, -5.79762512e+02
1.54923731e-02, -5.74270386e+02
1.49190025e-02, -5.69077759e+02
1.43386461e-02, -5.64576477e+02
1.37512218e-02, -5.60574036e+02
1.31567344e-02, -5.56995789e+02
1.25556691e-02, -5.53921814e+02
1.19488351e-02, -5.51448303e+02
1.13369599e-02, -5.48978149e+02
1.07207345e-02, -5.46817322e+02
1.01008555e-02, -5.44438904e+02
9.47802048e-03, -5.42088440e+02
8.85287020e-03, -5.39299194e+02
8.22584610e-03, -5.36212830e+02
7.59710371e-03, -5.32926514e+02
6.96675340e-03, -5.28898071e+02
6.33493019e-03, -5.24327942e+02
5.70175517e-03, -5.19222351e+02
5.38443029e-03, -5.13567444e+02
5.06681064e-03, -5.09228210e+02
4.74891486e-03, -5.04576141e+02
4.43075690e-03, -5.00519379e+02
4.11235169e-03, -4.98534729e+02
3.79368803e-03, -4.97280975e+02
3.47466604e-03, -4.97069733e+02
3.15514882e-03, -4.98080750e+02
2.83499924e-03, -4.99907379e+02
2.51419446e-03, -5.03758423e+02
2.19340133e-03, -5.11548462e+02
1.87361846e-03, -5.20140686e+02
1.55594409e-03, -5.43074951e+02
1.24607550e-03, -5.89405029e+02
9.57472832e-04, -6.68963440e+02
7.04973878e-04, -7.10230103e+02
4.92183084e-04, -7.16260559e+02
3.16819118e-04, -6.91190796e+02
1.76186091e-04, -6.81943115e+02
6.97391661e-05, -7.42416626e+02
-1.13698832e-06, -7.48104614e+02
9.13458371e-06, -7.43139893e+02
8.14504601e-05, -6.84019348e+02
1.88511272e-04, -6.59449585e+02
3.12563585e-04, -6.90284241e+02
4.58774099e-04, -7.36790649e+02
6.37591525e-04, -7.81511841e+02
8.58152169e-04, -7.90952820e+02
1.11645553e-03, -7.68260376e+02
1.39756035e-03, -7.55683655e+02


