[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -7.82899597e+02
1.98518834e-03, -8.31663879e+02
2.28990056e-03, -8.77782837e+02
2.60417908e-03, -9.25489502e+02
2.93083163e-03, -9.69824402e+02
3.27328406e-03, -1.00680396e+03
3.63449287e-03, -1.03635034e+03
4.01666388e-03, -1.06372363e+03
4.41987719e-03, -1.08168481e+03
4.82933270e-03, -1.10588538e+03
5.25433011e-03, -1.13563098e+03
5.69314370e-03, -1.15981067e+03
6.14420045e-03, -1.18094458e+03
6.60609081e-03, -1.20048938e+03
7.07758404e-03, -1.21857263e+03
7.55742937e-03, -1.23645886e+03
8.04443471e-03, -1.25405273e+03
8.53745546e-03, -1.27080176e+03
9.03528649e-03, -1.28773425e+03
9.56505444e-03, -1.30212561e+03
1.00972131e-02, -1.31309290e+03
1.06299762e-02, -1.31936255e+03
1.11612603e-02, -1.32053870e+03
1.16886348e-02, -1.31524231e+03
1.22092664e-02, -1.30673230e+03
1.27204731e-02, -1.30372644e+03
1.32203046e-02, -1.30039294e+03
1.37072857e-02, -1.29566345e+03
1.41804535e-02, -1.29546704e+03
1.46393068e-02, -1.30168152e+03
1.50835933e-02, -1.30433179e+03
1.55135337e-02, -1.30373755e+03
1.59295425e-02, -1.30059973e+03
1.63321309e-02, -1.29888245e+03
1.67218409e-02, -1.29634033e+03
1.70993488e-02, -1.29551196e+03
1.75232328e-02, -1.29893689e+03
1.79327000e-02, -1.29720337e+03
1.83287337e-02, -1.29478210e+03
1.87123641e-02, -1.29214880e+03
1.90844648e-02, -1.29020251e+03
1.94453336e-02, -1.28658667e+03
1.97951626e-02, -1.28180310e+03
2.01342255e-02, -1.27697925e+03
2.04628706e-02, -1.27287048e+03
2.07815096e-02, -1.26809277e+03
2.10905802e-02, -1.26329565e+03
2.13906914e-02, -1.25889966e+03
2.16824412e-02, -1.25455542e+03
2.19664853e-02, -1.25044910e+03
2.22434644e-02, -1.24626672e+03
2.25141179e-02, -1.24234998e+03
