[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -7.55187378e+02
1.98518834e-03, -7.98540955e+02
2.28990056e-03, -8.40217529e+02
2.60417908e-03, -8.84620300e+02
2.93083163e-03, -9.27287231e+02
3.27328406e-03, -9.65752197e+02
3.63449287e-03, -9.98310364e+02
4.01666388e-03, -1.02590344e+03
4.41987719e-03, -1.04426025e+03
4.82933270e-03, -1.06424048e+03
5.25433011e-03, -1.08803491e+03
5.69314370e-03, -1.11025903e+03
6.14420045e-03, -1.13192517e+03
6.60609081e-03, -1.15271899e+03
7.07758404e-03, -1.17207239e+03
7.55742937e-03, -1.19113977e+03
8.04443471e-03, -1.20955627e+03
8.53745546e-03, -1.22681445e+03
9.03528649e-03, -1.24547473e+03
9.56505444e-03, -1.26051501e+03
1.00972131e-02, -1.27286218e+03
1.06299762e-02, -1.28156274e+03
1.11612603e-02, -1.28559998e+03
1.16886348e-02, -1.28362830e+03
1.22092664e-02, -1.27577246e+03
1.27204731e-02, -1.26883496e+03
1.32203046e-02, -1.26379346e+03
1.37072857e-02, -1.25344434e+03
1.41804535e-02, -1.24515356e+03
1.46393068e-02, -1.24453979e+03
1.50835933e-02, -1.24481909e+03
1.55135337e-02, -1.24522046e+03
1.59295425e-02, -1.24585229e+03
1.63321309e-02, -1.24528271e+03
1.67218409e-02, -1.24468713e+03
1.70993488e-02, -1.24449292e+03
1.75232328e-02, -1.24481311e+03
1.79327000e-02, -1.24320825e+03
1.83287337e-02, -1.24253113e+03
1.87123641e-02, -1.24151904e+03
1.90844648e-02, -1.24129883e+03
1.94453336e-02, -1.23933252e+03
1.97951626e-02, -1.23583826e+03
2.01342255e-02, -1.23221252e+03
2.04628706e-02, -1.22905200e+03
2.07815096e-02, -1.22487390e+03
2.10905802e-02, -1.22036279e+03
2.13906914e-02, -1.21676929e+03
2.16824412e-02, -1.21300171e+03
2.19664853e-02, -1.20937573e+03
2.22434644e-02, -1.20646899e+03
2.25141179e-02, -1.20363745e+03
2.27792170e-02, -1.20157043e+03
2.30394881e-02, -1.19999109e+03
2.32955273e-02, -1.19916052e+03
2.35474892e-02, -1.19716736e+03
2.37953663e-02, -1.19444043e+03
2.40392666e-02, -1.19216248e+03
2.42791809e-02, -1.18944165e+03
2.45152097e-02, -1.18726526e+03
2.47473307e-02, -1.18440295e+03
2.49756370e-02, -1.18215222e+03
2.52001472e-02, -1.17901685e+03
2.54208837e-02, -1.17668933e+03
2.56379023e-02, -1.17453455e+03
2.58512422e-02, -1.17209241e+03
