[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -1.17240063e+03
1.98518834e-03, -1.19328845e+03
2.28990056e-03, -1.21272388e+03
2.60417908e-03, -1.23760254e+03
2.93083163e-03, -1.26212708e+03
3.27328406e-03, -1.28283667e+03
3.63449287e-03, -1.29830298e+03
4.01666388e-03, -1.31185266e+03
4.41987719e-03, -1.32001282e+03
4.82933270e-03, -1.33216528e+03
5.25433011e-03, -1.34962524e+03
5.69314370e-03, -1.36303406e+03
6.14420045e-03, -1.37495142e+03
6.60609081e-03, -1.38638135e+03
7.07758404e-03, -1.39728394e+03
7.55742937e-03, -1.40909985e+03
8.04443471e-03, -1.42118042e+03
8.53745546e-03, -1.43284399e+03
9.03528649e-03, -1.44481738e+03
9.56505444e-03, -1.45397632e+03
1.00972131e-02, -1.46003833e+03
1.06299762e-02, -1.46188159e+03
1.11612603e-02, -1.45882874e+03
1.16886348e-02, -1.44824377e+03
1.22092664e-02, -1.43449280e+03
1.27204731e-02, -1.42651770e+03
1.32203046e-02, -1.42002441e+03
1.37072857e-02, -1.41103491e+03
1.41804535e-02, -1.40570923e+03
1.46393068e-02, -1.40628149e+03
1.50835933e-02, -1.40275842e+03
1.55135337e-02, -1.39695996e+03
1.59295425e-02, -1.38936279e+03
1.63321309e-02, -1.38432324e+03
1.67218409e-02, -1.37908765e+03
1.70993488e-02, -1.37530994e+03
1.75232328e-02, -1.37561890e+03
1.79327000e-02, -1.37110095e+03
1.83287337e-02, -1.36636707e+03
1.87123641e-02, -1.36189270e+03
1.90844648e-02, -1.35860913e+03
1.94453336e-02, -1.35412061e+03
1.97951626e-02, -1.34833630e+03
2.01342255e-02, -1.34264355e+03
2.04628706e-02, -1.33791956e+03
2.07815096e-02, -1.33223169e+03
2.10905802e-02, -1.32650513e+03
2.13906914e-02, -1.32152881e+03
2.16824412e-02, -1.31601941e+03
2.19664853e-02, -1.31110535e+03
2.22434644e-02, -1.30611877e+03
2.25141179e-02, -1.30132129e+03
2.27792170e-02, -1.29732495e+03
2.30394881e-02, -1.29423499e+03
2.32955273e-02, -1.29318433e+03
2.35474892e-02, -1.29147668e+03
2.37953663e-02, -1.28815210e+03
2.40392666e-02, -1.28581018e+03
2.42791809e-02, -1.28237354e+03
2.45152097e-02, -1.28001379e+03
2.47473307e-02, -1.27649182e+03
2.49756370e-02, -1.27387268e+03
2.52001472e-02, -1.27030139e+03
2.54208837e-02, -1.26711877e+03
2.56379023e-02, -1.26400684e+03
2.58512422e-02, -1.26104834e+03
2.60608979e-02, -1.25745544e+03
2.62669288e-02, -1.25348242e+03
2.64693685e-02, -1.24965991e+03
2.66683269e-02, -1.24612219e+03
2.68639680e-02, -1.24214124e+03
2.70564631e-02, -1.23865796e+03
2.72459872e-02, -1.23537329e+03
2.74327118e-02, -1.23185400e+03
2.76168156e-02, -1.22835510e+03
2.77984757e-02, -1.22521191e+03
2.79778671e-02, -1.22203467e+03
2.81551685e-02, -1.21839087e+03
2.83305682e-02, -1.21561621e+03
2.85042431e-02, -1.21290662e+03
2.86763683e-02, -1.20984717e+03
2.88471319e-02, -1.20859717e+03
2.90166140e-02, -1.20715991e+03
2.91848313e-02, -1.20506787e+03
2.93518025e-02, -1.20246814e+03
2.95175333e-02, -1.19989807e+03
2.96820365e-02, -1.19758350e+03
2.98453253e-02, -1.19528589e+03
3.00074127e-02, -1.19259167e+03
3.01683117e-02, -1.19014490e+03
3.03280316e-02, -1.18764868e+03
3.04865856e-02, -1.18512781e+03
3.06439959e-02, -1.18268030e+03
3.08002513e-02, -1.17960461e+03
3.09553891e-02, -1.17720886e+03
3.11094020e-02, -1.17432654e+03
3.12623270e-02, -1.17145044e+03
3.14141922e-02, -1.16821094e+03
3.15650925e-02, -1.16583752e+03
3.17150950e-02, -1.16279004e+03
3.18642855e-02, -1.16022278e+03
3.20127420e-02, -1.15751453e+03
3.21605355e-02, -1.15478320e+03
3.23077552e-02, -1.15216296e+03
3.24544683e-02, -1.14963574e+03
3.26007567e-02, -1.14711462e+03
3.27466987e-02, -1.14456226e+03
3.28923762e-02, -1.14227612e+03
3.30378637e-02, -1.14027820e+03
3.31832394e-02, -1.13849341e+03
3.33285779e-02, -1.13672363e+03
3.34738977e-02, -1.13485974e+03
3.36192027e-02, -1.13249377e+03
3.37645039e-02, -1.13081274e+03
3.39098051e-02, -1.12952197e+03
3.40551026e-02, -1.12710010e+03
3.42004187e-02, -1.12527747e+03
3.43457460e-02, -1.12325769e+03
3.44910994e-02, -1.12135742e+03
3.46364677e-02, -1.11979565e+03
3.47818732e-02, -1.11816565e+03
3.49273160e-02, -1.11628357e+03
3.50727960e-02, -1.11414893e+03
3.52183282e-02, -1.11282117e+03
3.53639089e-02, -1.11170422e+03
3.55095156e-02, -1.10993469e+03
3.56551372e-02, -1.10816992e+03
3.58007327e-02, -1.10666345e+03
3.59462798e-02, -1.10557715e+03
3.60917486e-02, -1.10420825e+03
