[Name]
Series 1 at airfoil

[Data]
X [ m ],h [ W m^-2 ]
1.68829411e-03, -8.93246948e+02
1.98518834e-03, -9.04748596e+02
2.28990056e-03, -9.20946045e+02
2.60417908e-03, -9.42379822e+02
2.93083163e-03, -9.68513000e+02
3.27328406e-03, -9.97272217e+02
3.63449287e-03, -1.02467175e+03
4.01666388e-03, -1.04921033e+03
4.41987719e-03, -1.06958960e+03
4.82933270e-03, -1.08818433e+03
5.25433011e-03, -1.10312427e+03
5.69314370e-03, -1.11466077e+03
6.14420045e-03, -1.12464246e+03
6.60609081e-03, -1.13363721e+03
7.07758404e-03, -1.14165625e+03
7.55742937e-03, -1.14884595e+03
8.04443471e-03, -1.15507825e+03
8.53745546e-03, -1.16020496e+03
9.03528649e-03, -1.16423962e+03
9.56505444e-03, -1.16552747e+03
1.00972131e-02, -1.16380286e+03
1.06299762e-02, -1.15922632e+03
1.11612603e-02, -1.15234583e+03
1.16886348e-02, -1.14289880e+03
1.22092664e-02, -1.13373621e+03
1.27204731e-02, -1.12885815e+03
1.32203046e-02, -1.12279456e+03
1.37072857e-02, -1.11800427e+03
1.41804535e-02, -1.11764587e+03
1.46393068e-02, -1.11992114e+03
1.50835933e-02, -1.12067285e+03
1.55135337e-02, -1.12081531e+03
1.59295425e-02, -1.11993152e+03
1.63321309e-02, -1.12080188e+03
1.67218409e-02, -1.12093152e+03
1.70993488e-02, -1.12249512e+03
1.75232328e-02, -1.12567200e+03
1.79327000e-02, -1.12627539e+03
1.83287337e-02, -1.12485962e+03
1.87123641e-02, -1.12281982e+03
1.90844648e-02, -1.11936670e+03
1.94453336e-02, -1.11519617e+03
1.97951626e-02, -1.11095020e+03
2.01342255e-02, -1.10741577e+03
2.04628706e-02, -1.10458533e+03
2.07815096e-02, -1.10205164e+03
2.10905802e-02, -1.10015503e+03
2.13906914e-02, -1.09897595e+03
2.16824412e-02, -1.09800525e+03
2.19664853e-02, -1.09746118e+03
2.22434644e-02, -1.09719458e+03
2.25141179e-02, -1.09697974e+03
2.27792170e-02, -1.09649207e+03
2.30394881e-02, -1.09555127e+03
2.32955273e-02, -1.09421851e+03
2.35474892e-02, -1.09221082e+03
2.37953663e-02, -1.08965710e+03
2.40392666e-02, -1.08708105e+03
2.42791809e-02, -1.08439734e+03
2.45152097e-02, -1.08184790e+03
2.47473307e-02, -1.07914038e+03
2.49756370e-02, -1.07649023e+03
2.52001472e-02, -1.07378918e+03
2.54208837e-02, -1.07118652e+03
2.56379023e-02, -1.06864294e+03
2.58512422e-02, -1.06611096e+03
2.60608979e-02, -1.06363708e+03
2.62669288e-02, -1.06146802e+03
2.64693685e-02, -1.05960193e+03
2.66683269e-02, -1.05784729e+03
2.68639680e-02, -1.05625159e+03
2.70564631e-02, -1.05481152e+03
2.72459872e-02, -1.05339063e+03
2.74327118e-02, -1.05200208e+03
2.76168156e-02, -1.05069958e+03
2.77984757e-02, -1.04947437e+03
2.79778671e-02, -1.04828333e+03
2.81551685e-02, -1.04712000e+03
2.83305682e-02, -1.04601855e+03
2.85042431e-02, -1.04490405e+03
2.86763683e-02, -1.04373145e+03
2.88471319e-02, -1.04261914e+03
2.90166140e-02, -1.04136511e+03
2.91848313e-02, -1.03997314e+03
2.93518025e-02, -1.03850488e+03
2.95175333e-02, -1.03708447e+03
2.96820365e-02, -1.03563965e+03
2.98453253e-02, -1.03418750e+03
3.00074127e-02, -1.03275269e+03
3.01683117e-02, -1.03137048e+03
3.03280316e-02, -1.03004663e+03
3.04865856e-02, -1.02873193e+03
3.06439959e-02, -1.02748730e+03
3.08002513e-02, -1.02622412e+03
3.09553891e-02, -1.02507324e+03
3.11094020e-02, -1.02390497e+03
3.12623270e-02, -1.02278033e+03
3.14141922e-02, -1.02165753e+03
3.15650925e-02, -1.02061163e+03
3.17150950e-02, -1.01959900e+03
3.18642855e-02, -1.01861072e+03
3.20127420e-02, -1.01766443e+03
3.21605355e-02, -1.01670343e+03
3.23077552e-02, -1.01575037e+03
3.24544683e-02, -1.01480219e+03
3.26007567e-02, -1.01387170e+03
3.27466987e-02, -1.01295996e+03
3.28923762e-02, -1.01204846e+03
3.30378637e-02, -1.01113593e+03
3.31832394e-02, -1.01012622e+03
3.33285779e-02, -1.00913635e+03
3.34738977e-02, -1.00814063e+03
3.36192027e-02, -1.00711975e+03
3.37645039e-02, -1.00611163e+03
3.39098051e-02, -1.00510272e+03
3.40551026e-02, -1.00397247e+03
3.42004187e-02, -1.00287189e+03
3.43457460e-02, -1.00179132e+03
3.44910994e-02, -1.00077472e+03
3.46364677e-02, -9.99773376e+02
3.47818732e-02, -9.98655945e+02
3.49273160e-02, -9.97510925e+02
3.50727960e-02, -9.96434204e+02
3.52183282e-02, -9.95345764e+02
3.53639089e-02, -9.94196289e+02
3.55095156e-02, -9.92934631e+02
3.56551372e-02, -9.91717590e+02
3.58007327e-02, -9.90527527e+02
3.59462798e-02, -9.89372375e+02
3.60917486e-02, -9.88111023e+02
3.62371244e-02, -9.86727539e+02
3.63823697e-02, -9.85289368e+02
3.65274772e-02, -9.83743774e+02
3.66724543e-02, -9.83317749e+02
3.68173271e-02, -9.81931091e+02
3.69619615e-02, -9.19471191e+02
3.69724520e-02, -7.84654968e+02
3.69768627e-02, -7.57340881e+02
3.69753577e-02, -8.08125122e+02
3.69679928e-02, -9.41560791e+02
3.69548276e-02, -1.05884106e+03
3.69359553e-02, -1.08988904e+03
3.69115248e-02, -1.03617456e+03
3.68816704e-02, -8.71579285e+02
3.68504301e-02, -6.50725159e+02
3.68154980e-02, -5.92506104e+02
3.67769524e-02, -6.23904419e+02
3.67347933e-02, -6.78684937e+02
3.66896056e-02, -7.44360229e+02
3.66416574e-02, -8.16368103e+02
3.65910344e-02, -8.86484070e+02
3.65382545e-02, -9.46333252e+02
3.64836752e-02, -9.88879944e+02
3.64275761e-02, -9.98899170e+02
3.63703445e-02, -9.65420471e+02
3.63123789e-02, -9.07704956e+02
3.62540521e-02, -8.39399841e+02
3.61957476e-02, -7.66105774e+02
3.61378305e-02, -6.92978271e+02
3.60806547e-02, -6.32014343e+02
3.60205323e-02, -5.94609070e+02
3.59621681e-02, -6.30852722e+02
3.59059833e-02, -8.59974426e+02
3.58524919e-02, -1.11921460e+03
3.58021669e-02, -1.22156287e+03
3.57551761e-02, -9.49117737e+02
3.57119776e-02, -5.51909973e+02
3.56731042e-02, -3.65000427e+02
3.56384590e-02, -3.76630249e+02
3.56086195e-02, -5.53706116e+02
3.55835445e-02, -7.44015015e+02
3.53441723e-02, -8.78686768e+02
3.51056270e-02, -8.88970886e+02
3.48679721e-02, -8.93724304e+02
3.46312486e-02, -8.95703674e+02
3.43953520e-02, -8.96187561e+02
3.41601260e-02, -8.95554077e+02
3.39254215e-02, -8.93963623e+02
3.36910896e-02, -8.91530701e+02
3.34569141e-02, -8.88170959e+02
3.32225785e-02, -8.83947571e+02
3.29877511e-02, -8.79041138e+02
3.27521004e-02, -8.73305420e+02
3.25153060e-02, -8.66841064e+02
3.22770290e-02, -8.59861633e+02
3.20369527e-02, -8.52128296e+02
3.17947343e-02, -8.43917664e+02
3.15500684e-02, -8.35208801e+02
3.13026197e-02, -8.26065613e+02
3.10521070e-02, -8.16584534e+02
3.07983309e-02, -8.06795593e+02
3.05411015e-02, -7.96742493e+02
3.02802399e-02, -7.86445618e+02
3.00155748e-02, -7.75968872e+02
2.97468845e-02, -7.65368591e+02
2.94740312e-02, -7.54681946e+02
2.91968249e-02, -7.43943726e+02
2.89150812e-02, -7.33239075e+02
2.86286417e-02, -7.22552551e+02
2.83373948e-02, -7.11980957e+02
2.80412603e-02, -7.01452393e+02
2.77401395e-02, -6.91041199e+02
2.74339020e-02, -6.80775574e+02
2.71225125e-02, -6.70638367e+02
2.68058125e-02, -6.60647888e+02
2.64837667e-02, -6.50838806e+02
2.61562802e-02, -6.41223938e+02
2.58232336e-02, -6.31830261e+02
2.54845433e-02, -6.22600952e+02
2.51400918e-02, -6.13642883e+02
2.47897580e-02, -6.04933105e+02
2.44334172e-02, -5.96522827e+02
2.40709558e-02, -5.88396118e+02
2.37022620e-02, -5.80640076e+02
2.33272072e-02, -5.73246521e+02
2.29456704e-02, -5.66296143e+02
2.25575790e-02, -5.59762573e+02
2.21628658e-02, -5.53700195e+02
2.17616260e-02, -5.48045593e+02
2.13541035e-02, -5.42801514e+02
2.09406074e-02, -5.37814331e+02
2.05213130e-02, -5.33111816e+02
2.00964995e-02, -5.28602722e+02
1.96664128e-02, -5.24250732e+02
1.92312337e-02, -5.19933960e+02
1.87912639e-02, -5.14990784e+02
1.82577297e-02, -5.10646454e+02
1.77178197e-02, -5.05995819e+02
1.71714611e-02, -5.01513977e+02
1.66184753e-02, -4.97295013e+02
1.60588138e-02, -4.93388855e+02
1.54923731e-02, -4.89899994e+02
1.49190025e-02, -4.86852692e+02
1.43386461e-02, -4.84284027e+02
1.37512218e-02, -4.82234100e+02
1.31567344e-02, -4.80824005e+02
1.25556691e-02, -4.80017395e+02
1.19488351e-02, -4.79609741e+02
1.13369599e-02, -4.79589691e+02
1.07207345e-02, -4.79774231e+02
1.01008555e-02, -4.80164490e+02
9.47802048e-03, -4.80831604e+02
8.85287020e-03, -4.81780670e+02
8.22584610e-03, -4.82982513e+02
7.59710371e-03, -4.84641785e+02
6.96675340e-03, -4.87206757e+02
6.33493019e-03, -4.91286713e+02
5.70175517e-03, -4.98270447e+02
5.38443029e-03, -5.02251740e+02
5.06681064e-03, -5.06805603e+02
4.74891486e-03, -5.12216187e+02
4.43075690e-03, -5.18587646e+02
4.11235169e-03, -5.26088867e+02
3.79368803e-03, -5.34929321e+02
3.47466604e-03, -5.45405945e+02
3.15514882e-03, -5.57884277e+02
2.83499924e-03, -5.72859863e+02
2.51419446e-03, -5.91398438e+02
2.19340133e-03, -6.14278137e+02
1.87361846e-03, -6.41597473e+02
1.55594409e-03, -6.74048279e+02
1.24607550e-03, -7.10319153e+02
9.57472832e-04, -7.47940979e+02
7.04973878e-04, -7.82368896e+02
4.92183084e-04, -8.11440918e+02
3.16819118e-04, -8.35893982e+02
1.76186091e-04, -8.60289490e+02
6.97391661e-05, -8.84006775e+02
-1.13698832e-06, -8.87280273e+02
9.13458371e-06, -8.74412781e+02
8.14504601e-05, -8.61313354e+02
1.88511272e-04, -8.57244019e+02
3.12563585e-04, -8.63440796e+02
4.58774099e-04, -8.72549866e+02
6.37591525e-04, -8.79512512e+02
8.58152169e-04, -8.82952576e+02
1.11645553e-03, -8.84213440e+02
1.39756035e-03, -8.87267395e+02


