[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 1.36280003e+01
1.98518834e-03, 1.43779564e+01
2.28990056e-03, 1.51661301e+01
2.60417908e-03, 1.59652786e+01
2.93083163e-03, 1.67603874e+01
3.27328406e-03, 1.75187607e+01
3.63449287e-03, 1.82006073e+01
4.01666388e-03, 1.88034344e+01
4.41987719e-03, 1.92737980e+01
4.82933270e-03, 1.96131973e+01
5.25433011e-03, 1.99210930e+01
5.69314370e-03, 2.02075195e+01
6.14420045e-03, 2.04839344e+01
6.60609081e-03, 2.07373466e+01
7.07758404e-03, 2.09609871e+01
7.55742937e-03, 2.11734962e+01
8.04443471e-03, 2.13675041e+01
8.53745546e-03, 2.15593586e+01
9.03528649e-03, 2.17295380e+01
9.56505444e-03, 2.18791618e+01
1.00972131e-02, 2.19950104e+01
1.06299762e-02, 2.20647507e+01
1.11612603e-02, 2.20698910e+01
1.16886348e-02, 2.19754906e+01
1.22092664e-02, 2.17588234e+01
1.27204731e-02, 2.14633064e+01
1.32203046e-02, 2.11486626e+01
1.37072857e-02, 2.05781307e+01
1.41804535e-02, 1.97289429e+01
1.46393068e-02, 1.88917332e+01
1.50835933e-02, 1.81497421e+01
1.55135337e-02, 1.75286980e+01
1.59295425e-02, 1.70162125e+01
1.63321309e-02, 1.65690956e+01
1.67218409e-02, 1.61911030e+01
1.70993488e-02, 1.58809004e+01
1.75232328e-02, 1.55988350e+01
1.79327000e-02, 1.53720913e+01
1.83287337e-02, 1.51919518e+01
1.87123641e-02, 1.50501194e+01
1.90844648e-02, 1.49649143e+01
1.94453336e-02, 1.49087849e+01
1.97951626e-02, 1.48398628e+01
2.01342255e-02, 1.47716808e+01
2.04628706e-02, 1.47269220e+01
2.07815096e-02, 1.46716042e+01
2.10905802e-02, 1.46050091e+01
2.13906914e-02, 1.45446529e+01
2.16824412e-02, 1.44780827e+01
2.19664853e-02, 1.44097881e+01
2.22434644e-02, 1.43427773e+01
2.25141179e-02, 1.42961979e+01
2.27792170e-02, 1.42525330e+01
2.30394881e-02, 1.42372656e+01
2.32955273e-02, 1.42382030e+01
2.35474892e-02, 1.42536945e+01
2.37953663e-02, 1.42598343e+01
2.40392666e-02, 1.42623529e+01
2.42791809e-02, 1.42535858e+01
2.45152097e-02, 1.42348137e+01
2.47473307e-02, 1.42108021e+01
2.49756370e-02, 1.41692791e+01
2.52001472e-02, 1.41231232e+01
2.54208837e-02, 1.40636349e+01
2.56379023e-02, 1.40291872e+01
2.58512422e-02, 1.39823561e+01
2.60608979e-02, 1.39277668e+01
2.62669288e-02, 1.38497753e+01
2.64693685e-02, 1.37817383e+01
2.66683269e-02, 1.36984758e+01
2.68639680e-02, 1.36093378e+01
2.70564631e-02, 1.35250149e+01
2.72459872e-02, 1.34342566e+01
2.74327118e-02, 1.33392124e+01
2.76168156e-02, 1.32535553e+01
2.77984757e-02, 1.31719580e+01
2.79778671e-02, 1.30797253e+01
2.81551685e-02, 1.29806499e+01
2.83305682e-02, 1.28908825e+01
2.85042431e-02, 1.28089161e+01
2.86763683e-02, 1.27117767e+01
2.88471319e-02, 1.26283484e+01
2.90166140e-02, 1.25496416e+01
2.91848313e-02, 1.24677601e+01
2.93518025e-02, 1.23790226e+01
2.95175333e-02, 1.22929325e+01
2.96820365e-02, 1.22029419e+01
2.98453253e-02, 1.21090536e+01
3.00074127e-02, 1.20234737e+01
3.01683117e-02, 1.19267244e+01
3.03280316e-02, 1.18304348e+01
3.04865856e-02, 1.17405510e+01
3.06439959e-02, 1.16357861e+01
3.08002513e-02, 1.15374222e+01
3.09553891e-02, 1.14464388e+01
3.11094020e-02, 1.13386450e+01
3.12623270e-02, 1.12451992e+01
3.14141922e-02, 1.11508722e+01
3.15650925e-02, 1.10534096e+01
3.17150950e-02, 1.09587612e+01
3.18642855e-02, 1.08640022e+01
3.20127420e-02, 1.07809544e+01
3.21605355e-02, 1.07050781e+01
3.23077552e-02, 1.06412868e+01
3.24544683e-02, 1.05616722e+01
3.26007567e-02, 1.04909611e+01
3.27466987e-02, 1.04218941e+01
3.28923762e-02, 1.03743229e+01
3.30378637e-02, 1.03268089e+01
3.31832394e-02, 1.02834187e+01
3.33285779e-02, 1.02515984e+01
3.34738977e-02, 1.02063675e+01
3.36192027e-02, 1.01843128e+01
3.37645039e-02, 1.01642370e+01
3.39098051e-02, 1.01534195e+01
3.40551026e-02, 1.01582251e+01
3.42004187e-02, 1.01495457e+01
3.43457460e-02, 1.01538773e+01
3.44910994e-02, 1.01460762e+01
3.46364677e-02, 1.01526365e+01
3.47818732e-02, 1.01822443e+01
3.49273160e-02, 1.02152290e+01
3.50727960e-02, 1.02491179e+01
3.52183282e-02, 1.02959347e+01
3.53639089e-02, 1.03615017e+01
3.55095156e-02, 1.04324369e+01
3.56551372e-02, 1.05131998e+01
3.58007327e-02, 1.06050568e+01
3.59462798e-02, 1.07170486e+01
3.60917486e-02, 1.08486300e+01
3.62371244e-02, 1.09912329e+01
3.63823697e-02, 1.11496325e+01
3.65274772e-02, 1.13655901e+01
3.66724543e-02, 1.16567516e+01
3.68173271e-02, 1.20633984e+01
3.69619615e-02, 1.36585293e+01
3.69724520e-02, 1.38692932e+01
3.69768627e-02, 1.37920227e+01
3.69753577e-02, 1.28297977e+01
3.69679928e-02, 1.06270180e+01
3.69548276e-02, 7.18140125e+00
3.69359553e-02, 3.31338787e+00
3.69115248e-02, 3.98849082e+00
3.68816704e-02, 3.71850348e+00
3.68504301e-02, 3.47462511e+00
3.68154980e-02, 3.55640197e+00
3.67769524e-02, 3.91003680e+00
3.67347933e-02, 4.30277729e+00
3.66896056e-02, 4.61371660e+00
3.66416574e-02, 4.81415558e+00
3.65910344e-02, 4.70668125e+00
3.65382545e-02, 4.16808128e+00
3.64836752e-02, 2.44481468e+00
3.64275761e-02, 3.44989681e+00
3.63703445e-02, 4.27466440e+00
3.63123789e-02, 4.69389153e+00
3.62540521e-02, 4.81955099e+00
3.61957476e-02, 4.69528580e+00
3.61378305e-02, 4.41182518e+00
3.60806547e-02, 4.12683105e+00
3.60205323e-02, 3.95120192e+00
3.59621681e-02, 3.98614645e+00
3.59059833e-02, 4.14786816e+00
3.58524919e-02, 4.29758978e+00
3.58021669e-02, 4.55892086e+00
3.57551761e-02, 8.04043007e+00
3.57119776e-02, 1.19259186e+01
3.56731042e-02, 1.36861153e+01
3.56384590e-02, 1.42072887e+01
3.56086195e-02, 1.40377531e+01
3.55835445e-02, 1.37898521e+01
3.53441723e-02, 1.23053207e+01
3.51056270e-02, 1.19321365e+01
3.48679721e-02, 1.16799021e+01
3.46312486e-02, 1.15111523e+01
3.43953520e-02, 1.13641644e+01
3.41601260e-02, 1.12556286e+01
3.39254215e-02, 1.11465931e+01
3.36910896e-02, 1.10373497e+01
3.34569141e-02, 1.09473915e+01
3.32225785e-02, 1.08523741e+01
3.29877511e-02, 1.07854319e+01
3.27521004e-02, 1.07115183e+01
3.25153060e-02, 1.06326590e+01
3.22770290e-02, 1.05736294e+01
3.20369527e-02, 1.05122786e+01
3.17947343e-02, 1.04622908e+01
3.15500684e-02, 1.04117298e+01
3.13026197e-02, 1.03729382e+01
3.10521070e-02, 1.03207359e+01
3.07983309e-02, 1.02740822e+01
3.05411015e-02, 1.02455120e+01
3.02802399e-02, 1.01999512e+01
3.00155748e-02, 1.01575756e+01
2.97468845e-02, 1.01272821e+01
2.94740312e-02, 1.00929127e+01
2.91968249e-02, 1.00644035e+01
2.89150812e-02, 1.00336189e+01
2.86286417e-02, 1.00023670e+01
2.83373948e-02, 9.96992588e+00
2.80412603e-02, 9.94310570e+00
2.77401395e-02, 9.91429234e+00
2.74339020e-02, 9.88522339e+00
2.71225125e-02, 9.85828781e+00
2.68058125e-02, 9.82920933e+00
2.64837667e-02, 9.80094337e+00
2.61562802e-02, 9.77208042e+00
2.58232336e-02, 9.74314308e+00
2.54845433e-02, 9.70729923e+00
2.51400918e-02, 9.68074036e+00
2.47897580e-02, 9.64963722e+00
2.44334172e-02, 9.61937428e+00
2.40709558e-02, 9.58851719e+00
2.37022620e-02, 9.55898857e+00
2.33272072e-02, 9.52849579e+00
2.29456704e-02, 9.50290680e+00
2.25575790e-02, 9.47832680e+00
2.21628658e-02, 9.45772934e+00
2.17616260e-02, 9.44691849e+00
2.13541035e-02, 9.43749142e+00
2.09406074e-02, 9.42993355e+00
2.05213130e-02, 9.42762470e+00
2.00964995e-02, 9.42283821e+00
1.96664128e-02, 9.41776657e+00
1.92312337e-02, 9.41481209e+00
1.87912639e-02, 9.39845276e+00
1.82577297e-02, 9.38380623e+00
1.77178197e-02, 9.37555599e+00
1.71714611e-02, 9.36058617e+00
1.66184753e-02, 9.35091782e+00
1.60588138e-02, 9.34128380e+00
1.54923731e-02, 9.33112717e+00
1.49190025e-02, 9.31959724e+00
1.43386461e-02, 9.31110096e+00
1.37512218e-02, 9.31221199e+00
1.31567344e-02, 9.32645607e+00
1.25556691e-02, 9.35765553e+00
1.19488351e-02, 9.38619518e+00
