[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 1.32960567e+01
1.98518834e-03, 1.39836102e+01
2.28990056e-03, 1.47361631e+01
2.60417908e-03, 1.55189524e+01
2.93083163e-03, 1.63057671e+01
3.27328406e-03, 1.70575428e+01
3.63449287e-03, 1.77257061e+01
4.01666388e-03, 1.82979527e+01
4.41987719e-03, 1.87415771e+01
4.82933270e-03, 1.90759678e+01
5.25433011e-03, 1.93712177e+01
5.69314370e-03, 1.96410408e+01
6.14420045e-03, 1.98999329e+01
6.60609081e-03, 2.01409359e+01
7.07758404e-03, 2.03590755e+01
7.55742937e-03, 2.05649624e+01
8.04443471e-03, 2.07511063e+01
8.53745546e-03, 2.09286690e+01
9.03528649e-03, 2.10947399e+01
9.56505444e-03, 2.12385273e+01
1.00972131e-02, 2.13602715e+01
1.06299762e-02, 2.14335651e+01
1.11612603e-02, 2.14373245e+01
1.16886348e-02, 2.13363304e+01
1.22092664e-02, 2.11031971e+01
1.27204731e-02, 2.07908440e+01
1.32203046e-02, 2.04930592e+01
1.37072857e-02, 1.99606342e+01
1.41804535e-02, 1.91667747e+01
1.46393068e-02, 1.83850517e+01
1.50835933e-02, 1.76837597e+01
1.55135337e-02, 1.70858479e+01
1.59295425e-02, 1.65896950e+01
1.63321309e-02, 1.61557102e+01
1.67218409e-02, 1.57907543e+01
1.70993488e-02, 1.54747543e+01
1.75232328e-02, 1.51936188e+01
1.79327000e-02, 1.49870863e+01
1.83287337e-02, 1.48179874e+01
1.87123641e-02, 1.46790228e+01
1.90844648e-02, 1.45892658e+01
1.94453336e-02, 1.45278654e+01
1.97951626e-02, 1.44564333e+01
2.01342255e-02, 1.43894749e+01
2.04628706e-02, 1.43493490e+01
2.07815096e-02, 1.42995186e+01
2.10905802e-02, 1.42405291e+01
2.13906914e-02, 1.41879425e+01
2.16824412e-02, 1.41286621e+01
2.19664853e-02, 1.40670576e+01
2.22434644e-02, 1.40066938e+01
2.25141179e-02, 1.39644766e+01
2.27792170e-02, 1.39232864e+01
2.30394881e-02, 1.39076061e+01
2.32955273e-02, 1.39022541e+01
2.35474892e-02, 1.39080391e+01
2.37953663e-02, 1.39061317e+01
2.40392666e-02, 1.39001503e+01
2.42791809e-02, 1.38861942e+01
2.45152097e-02, 1.38629026e+01
2.47473307e-02, 1.38369427e+01
2.49756370e-02, 1.37938528e+01
2.52001472e-02, 1.37460613e+01
2.54208837e-02, 1.36860008e+01
2.56379023e-02, 1.36507616e+01
2.58512422e-02, 1.36040192e+01
2.60608979e-02, 1.35497608e+01
2.62669288e-02, 1.34731655e+01
2.64693685e-02, 1.34081898e+01
2.66683269e-02, 1.33285427e+01
2.68639680e-02, 1.32418385e+01
2.70564631e-02, 1.31600857e+01
2.72459872e-02, 1.30713558e+01
2.74327118e-02, 1.29776573e+01
2.76168156e-02, 1.28928871e+01
2.77984757e-02, 1.28125248e+01
2.79778671e-02, 1.27216091e+01
2.81551685e-02, 1.26243124e+01
2.83305682e-02, 1.25368328e+01
2.85042431e-02, 1.24563551e+01
2.86763683e-02, 1.23614464e+01
2.88471319e-02, 1.22791348e+01
2.90166140e-02, 1.22008886e+01
2.91848313e-02, 1.21192017e+01
2.93518025e-02, 1.20307941e+01
2.95175333e-02, 1.19452152e+01
2.96820365e-02, 1.18563728e+01
2.98453253e-02, 1.17643671e+01
3.00074127e-02, 1.16806660e+01
3.01683117e-02, 1.15868835e+01
3.03280316e-02, 1.14938965e+01
3.04865856e-02, 1.14077682e+01
3.06439959e-02, 1.13073206e+01
3.08002513e-02, 1.12134914e+01
3.09553891e-02, 1.11264067e+01
3.11094020e-02, 1.10229425e+01
3.12623270e-02, 1.09328318e+01
3.14141922e-02, 1.08420219e+01
3.15650925e-02, 1.07476139e+01
3.17150950e-02, 1.06557465e+01
3.18642855e-02, 1.05637360e+01
3.20127420e-02, 1.04829702e+01
3.21605355e-02, 1.04091682e+01
3.23077552e-02, 1.03469982e+01
3.24544683e-02, 1.02697229e+01
3.26007567e-02, 1.02007732e+01
3.27466987e-02, 1.01328888e+01
3.28923762e-02, 1.00855236e+01
3.30378637e-02, 1.00381012e+01
3.31832394e-02, 9.99474335e+00
3.33285779e-02, 9.96179962e+00
3.34738977e-02, 9.91570854e+00
3.36192027e-02, 9.89199448e+00
3.37645039e-02, 9.87083626e+00
3.39098051e-02, 9.85881996e+00
3.40551026e-02, 9.86310005e+00
3.42004187e-02, 9.85407734e+00
3.43457460e-02, 9.85759544e+00
3.44910994e-02, 9.84956741e+00
3.46364677e-02, 9.85632133e+00
3.47818732e-02, 9.88522339e+00
3.49273160e-02, 9.91711617e+00
3.50727960e-02, 9.95041656e+00
3.52183282e-02, 9.99678707e+00
3.53639089e-02, 1.00614052e+01
3.55095156e-02, 1.01315947e+01
3.56551372e-02, 1.02121410e+01
3.58007327e-02, 1.03055630e+01
3.59462798e-02, 1.04192333e+01
3.60917486e-02, 1.05555096e+01
3.62371244e-02, 1.07074070e+01
3.63823697e-02, 1.08821888e+01
3.65274772e-02, 1.11368971e+01
3.66724543e-02, 1.14552841e+01
3.68173271e-02, 1.22754440e+01
3.69619615e-02, 1.36222544e+01
3.69724520e-02, 1.43058090e+01
3.69768627e-02, 1.42683582e+01
3.69753577e-02, 1.35652466e+01
3.69679928e-02, 1.22014046e+01
3.69548276e-02, 1.02004528e+01
3.69359553e-02, 7.67669392e+00
3.69115248e-02, 1.71002102e+00
3.68816704e-02, 5.69646883e+00
3.68504301e-02, 5.19277763e+00
3.68154980e-02, 5.12868214e+00
3.67769524e-02, 5.51111937e+00
3.67347933e-02, 6.19375420e+00
3.66896056e-02, 6.81797171e+00
3.66416574e-02, 7.28563070e+00
3.65910344e-02, 7.44872952e+00
3.65382545e-02, 7.03296804e+00
3.64836752e-02, 5.14411926e+00
3.64275761e-02, 6.21646929e+00
3.63703445e-02, 7.17563534e+00
3.63123789e-02, 7.55740833e+00
3.62540521e-02, 7.48230839e+00
3.61957476e-02, 7.11621046e+00
3.61378305e-02, 6.65057707e+00
3.60806547e-02, 6.30712366e+00
3.60205323e-02, 6.14813042e+00
3.59621681e-02, 6.22036600e+00
3.59059833e-02, 6.48706913e+00
3.58524919e-02, 4.18383169e+00
3.58021669e-02, 8.84862900e+00
3.57551761e-02, 1.14923792e+01
3.57119776e-02, 1.32533226e+01
3.56731042e-02, 1.42638645e+01
3.56384590e-02, 1.48743114e+01
3.56086195e-02, 1.47724628e+01
3.55835445e-02, 1.39737701e+01
3.53441723e-02, 1.28324585e+01
3.51056270e-02, 1.20126133e+01
3.48679721e-02, 1.17432299e+01
3.46312486e-02, 1.15387573e+01
3.43953520e-02, 1.13770676e+01
3.41601260e-02, 1.12582684e+01
3.39254215e-02, 1.11409616e+01
3.36910896e-02, 1.10254726e+01
3.34569141e-02, 1.09320889e+01
3.32225785e-02, 1.08334875e+01
3.29877511e-02, 1.07624826e+01
3.27521004e-02, 1.06869621e+01
3.25153060e-02, 1.06069736e+01
3.22770290e-02, 1.05449734e+01
3.20369527e-02, 1.04834871e+01
3.17947343e-02, 1.04328003e+01
3.15500684e-02, 1.03810539e+01
3.13026197e-02, 1.03417339e+01
3.10521070e-02, 1.02886982e+01
3.07983309e-02, 1.02395926e+01
3.05411015e-02, 1.02089014e+01
3.02802399e-02, 1.01626167e+01
3.00155748e-02, 1.01192703e+01
2.97468845e-02, 1.00865240e+01
2.94740312e-02, 1.00506773e+01
2.91968249e-02, 1.00216331e+01
2.89150812e-02, 9.99009800e+00
2.86286417e-02, 9.95723534e+00
2.83373948e-02, 9.92307091e+00
2.80412603e-02, 9.89553547e+00
2.77401395e-02, 9.86569500e+00
2.74339020e-02, 9.83525753e+00
2.71225125e-02, 9.80795574e+00
2.68058125e-02, 9.77760792e+00
2.64837667e-02, 9.74923706e+00
2.61562802e-02, 9.72003651e+00
2.58232336e-02, 9.69051552e+00
2.54845433e-02, 9.65525627e+00
2.51400918e-02, 9.62806129e+00
2.47897580e-02, 9.59789848e+00
2.44334172e-02, 9.56824303e+00
2.40709558e-02, 9.53830719e+00
2.37022620e-02, 9.50992203e+00
2.33272072e-02, 9.48237801e+00
2.29456704e-02, 9.45886230e+00
2.25575790e-02, 9.43627548e+00
2.21628658e-02, 9.41616726e+00
2.17616260e-02, 9.40489006e+00
2.13541035e-02, 9.39202690e+00
2.09406074e-02, 9.38449669e+00
2.05213130e-02, 9.38008785e+00
2.00964995e-02, 9.37184525e+00
1.96664128e-02, 9.36262703e+00
1.92312337e-02, 9.35027122e+00
1.87912639e-02, 9.33177280e+00
1.82577297e-02, 9.32331276e+00
1.77178197e-02, 9.31614685e+00
1.71714611e-02, 9.30561066e+00
1.66184753e-02, 9.29607964e+00
1.60588138e-02, 9.28932476e+00
1.54923731e-02, 9.28354073e+00
1.49190025e-02, 9.27544785e+00
1.43386461e-02, 9.27389717e+00
