[Name]
Series 1 at /POLYLINE:airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 5.05847096e-01
1.98518834e-03, 5.44517457e-01
2.28990056e-03, 5.80079377e-01
2.60417908e-03, 6.14784956e-01
2.93083163e-03, 6.47101641e-01
3.27328406e-03, 6.76351607e-01
3.63449287e-03, 6.96665168e-01
4.01666388e-03, 7.10602283e-01
4.41987719e-03, 7.17484891e-01
4.82933270e-03, 7.24392772e-01
5.25433011e-03, 7.29960382e-01
5.69314370e-03, 7.37785339e-01
6.14420045e-03, 7.46439874e-01
6.60609081e-03, 7.51926720e-01
7.07758404e-03, 7.56523550e-01
7.55742937e-03, 7.63085544e-01
8.04443471e-03, 7.66288102e-01
8.53745546e-03, 7.73543596e-01
9.03528649e-03, 7.75842786e-01
9.56505444e-03, 7.78387308e-01
1.00972131e-02, 7.77489066e-01
1.06299762e-02, 7.74757087e-01
1.11612603e-02, 7.68422842e-01
1.16886348e-02, 7.57360995e-01
1.22092664e-02, 7.37054825e-01
1.27204731e-02, 7.20245838e-01
1.32203046e-02, 7.00906754e-01
1.37072857e-02, 6.77026212e-01
1.41804535e-02, 6.45429909e-01
1.46393068e-02, 6.10845864e-01
1.50835933e-02, 5.85473537e-01
1.55135337e-02, 5.68286777e-01
1.59295425e-02, 5.46871185e-01
1.63321309e-02, 5.30871272e-01
1.67218409e-02, 5.15931547e-01
1.70993488e-02, 5.08679986e-01
1.75232328e-02, 5.00045300e-01
1.79327000e-02, 4.94904548e-01
1.83287337e-02, 4.84678447e-01
1.87123641e-02, 4.84731197e-01
1.90844648e-02, 4.77281272e-01
1.94453336e-02, 4.77830350e-01
1.97951626e-02, 4.76174355e-01
2.01342255e-02, 4.75098491e-01
2.04628706e-02, 4.68527734e-01
2.07815096e-02, 4.66486394e-01
2.10905802e-02, 4.59493041e-01
2.13906914e-02, 4.56869155e-01
2.16824412e-02, 4.60554928e-01
2.19664853e-02, 4.57648188e-01
2.22434644e-02, 4.56032783e-01
2.25141179e-02, 4.51978326e-01
2.27792170e-02, 4.47354645e-01
2.30394881e-02, 4.46327507e-01
2.32955273e-02, 4.50707912e-01
2.35474892e-02, 4.50915307e-01
2.37953663e-02, 4.50578153e-01
2.40392666e-02, 4.50635076e-01
2.42791809e-02, 4.49702740e-01
2.45152097e-02, 4.49505568e-01
2.47473307e-02, 4.53164816e-01
2.49756370e-02, 4.45400327e-01
2.52001472e-02, 4.44868088e-01
2.54208837e-02, 4.35008824e-01
2.56379023e-02, 4.34404850e-01
2.58512422e-02, 4.39669609e-01
2.60608979e-02, 4.41545188e-01
2.62669288e-02, 4.30867523e-01
2.64693685e-02, 4.29476529e-01
2.66683269e-02, 4.28194404e-01
2.68639680e-02, 4.26630735e-01
2.70564631e-02, 4.21481371e-01
2.72459872e-02, 4.20113981e-01
2.74327118e-02, 4.12955612e-01
2.76168156e-02, 4.11583513e-01
2.77984757e-02, 4.10327345e-01
2.79778671e-02, 4.01176155e-01
2.81551685e-02, 3.99904430e-01
2.83305682e-02, 4.00242835e-01
2.85042431e-02, 4.02287602e-01
2.86763683e-02, 3.92680764e-01
2.88471319e-02, 3.92223954e-01
2.90166140e-02, 3.91232967e-01
2.91848313e-02, 3.87738407e-01
2.93518025e-02, 3.87282401e-01
2.95175333e-02, 3.83452296e-01
2.96820365e-02, 3.79089117e-01
2.98453253e-02, 3.70640814e-01
3.00074127e-02, 3.70061755e-01
3.01683117e-02, 3.67540509e-01
3.03280316e-02, 3.66855234e-01
3.04865856e-02, 3.59351277e-01
3.06439959e-02, 3.55761051e-01
3.08002513e-02, 3.54820967e-01
3.09553891e-02, 3.55025291e-01
3.11094020e-02, 3.42436522e-01
3.12623270e-02, 3.41431916e-01
3.14141922e-02, 3.50884944e-01
3.15650925e-02, 3.38847041e-01
3.17150950e-02, 3.36434960e-01
3.18642855e-02, 3.32950711e-01
3.20127420e-02, 3.31905425e-01
3.21605355e-02, 3.21291864e-01
3.23077552e-02, 3.20415586e-01
3.24544683e-02, 3.19411159e-01
3.26007567e-02, 3.13927084e-01
3.27466987e-02, 3.13125968e-01
3.28923762e-02, 3.12461793e-01
3.30378637e-02, 3.21339309e-01
3.31832394e-02, 3.18580955e-01
3.33285779e-02, 3.18235457e-01
3.34738977e-02, 3.06187749e-01
3.36192027e-02, 3.05818677e-01
3.37645039e-02, 3.14911962e-01
3.39098051e-02, 3.12427849e-01
3.40551026e-02, 3.12040627e-01
3.42004187e-02, 3.11744630e-01
3.43457460e-02, 3.11393678e-01
3.44910994e-02, 3.11089873e-01
3.46364677e-02, 3.10830832e-01
3.47818732e-02, 3.15426528e-01
3.49273160e-02, 3.15145344e-01
3.50727960e-02, 3.14863086e-01
3.52183282e-02, 3.19552928e-01
3.53639089e-02, 3.19494128e-01
3.55095156e-02, 3.21615517e-01
3.56551372e-02, 3.33109915e-01
3.58007327e-02, 3.30886006e-01
3.59462798e-02, 3.31044376e-01
3.60917486e-02, 3.36040974e-01
3.62371244e-02, 3.36578876e-01
3.63823697e-02, 3.37251663e-01
3.65274772e-02, 3.50494027e-01
3.66724543e-02, 3.53759199e-01
3.68173271e-02, 3.74651849e-01
3.69619615e-02, 4.37687933e-01
3.69724520e-02, 3.93585831e-01
3.69768627e-02, 1.73038259e-01
3.69753577e-02, 2.92921841e-01
3.69679928e-02, 2.57334501e-01
3.69548276e-02, 2.19986349e-01
3.69359553e-02, 1.98306248e-01
3.69115248e-02, 1.78178430e-01
3.68816704e-02, 1.59696743e-01
3.68504301e-02, 1.48213163e-01
3.68154980e-02, 1.54578492e-01
3.67769524e-02, 1.70168594e-01
3.67347933e-02, 1.86510012e-01
3.66896056e-02, 1.93249896e-01
3.66416574e-02, 2.00267047e-01
3.65910344e-02, 1.93312407e-01
3.65382545e-02, 1.55997127e-01
3.64836752e-02, 7.15903640e-02
3.64275761e-02, 1.03391930e-01
3.63703445e-02, 1.60276368e-01
3.63123789e-02, 1.95142180e-01
3.62540521e-02, 1.99988395e-01
3.61957476e-02, 1.95357665e-01
3.61378305e-02, 1.82502955e-01
3.60806547e-02, 1.69292182e-01
3.60205323e-02, 1.53634578e-01
3.59621681e-02, 1.59136653e-01
3.59059833e-02, 1.71017528e-01
3.58524919e-02, 1.89284295e-01
3.58021669e-02, 2.15154350e-01
3.57551761e-02, 2.34136954e-01
3.57119776e-02, 3.03638339e-01
3.56731042e-02, 2.26107538e-01
3.56384590e-02, 3.37932646e-01
3.56086195e-02, 4.46336091e-01
3.55835445e-02, 4.24682438e-01
3.53441723e-02, 3.85571539e-01
3.51056270e-02, 3.58953834e-01
3.48679721e-02, 3.53556752e-01
3.46312486e-02, 3.54186952e-01
3.43953520e-02, 3.52120221e-01
3.41601260e-02, 3.48928750e-01
3.39254215e-02, 3.34823042e-01
3.36910896e-02, 3.31810206e-01
3.34569141e-02, 3.46558958e-01
3.32225785e-02, 3.42184514e-01
3.29877511e-02, 3.41534436e-01
3.27521004e-02, 3.36789548e-01
3.25153060e-02, 3.31466019e-01
3.22770290e-02, 3.30026090e-01
3.20369527e-02, 3.28380466e-01
3.17947343e-02, 3.35952699e-01
3.15500684e-02, 3.34093332e-01
3.13026197e-02, 3.27874362e-01
3.10521070e-02, 3.25046778e-01
3.07983309e-02, 3.18707168e-01
3.05411015e-02, 3.20658088e-01
3.02802399e-02, 3.15437257e-01
3.00155748e-02, 3.20338964e-01
2.97468845e-02, 3.14202368e-01
2.94740312e-02, 3.14892024e-01
2.91968249e-02, 3.15956801e-01
2.89150812e-02, 3.16851765e-01
2.86286417e-02, 3.17891657e-01
2.83373948e-02, 3.11710954e-01
2.80412603e-02, 3.15598190e-01
2.77401395e-02, 3.19355547e-01
2.74339020e-02, 3.13184679e-01
2.71225125e-02, 3.10335100e-01
2.68058125e-02, 3.06023896e-01
2.64837667e-02, 3.10978681e-01
2.61562802e-02, 3.10858935e-01
2.58232336e-02, 3.08089316e-01
2.54845433e-02, 3.02642435e-01
2.51400918e-02, 3.09661776e-01
2.47897580e-02, 3.05455387e-01
2.44334172e-02, 3.05398464e-01
2.40709558e-02, 3.05408895e-01
2.37022620e-02, 3.07016015e-01
2.33272072e-02, 3.00567180e-01
2.29456704e-02, 3.02132666e-01
2.25575790e-02, 3.02213401e-01
2.21628658e-02, 3.00357729e-01
2.17616260e-02, 3.01497698e-01
2.13541035e-02, 2.98150510e-01
2.09406074e-02, 2.97044069e-01
2.05213130e-02, 3.01525235e-01
2.00964995e-02, 2.99225092e-01
1.96664128e-02, 3.00230354e-01
1.92312337e-02, 2.99413025e-01
1.87912639e-02, 2.96297878e-01
1.82577297e-02, 2.99002588e-01
1.77178197e-02, 2.99012929e-01
1.71714611e-02, 3.00305367e-01
1.66184753e-02, 2.99851000e-01
1.60588138e-02, 2.97881007e-01
1.54923731e-02, 2.99700379e-01
1.49190025e-02, 2.99587011e-01
1.43386461e-02, 2.99000621e-01
1.37512218e-02, 2.98530281e-01
1.31567344e-02, 2.99077839e-01
1.25556691e-02, 3.00169200e-01
1.19488351e-02, 3.00819248e-01
1.13369599e-02, 3.01211178e-01
1.07207345e-02, 3.04253817e-01
1.01008555e-02, 3.06165755e-01
