[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 4.92381752e-01
1.98518834e-03, 5.24934053e-01
2.28990056e-03, 5.57908416e-01
2.60417908e-03, 5.91161489e-01
2.93083163e-03, 6.23093486e-01
3.27328406e-03, 6.53265595e-01
3.63449287e-03, 6.75943851e-01
4.01666388e-03, 6.91757441e-01
4.41987719e-03, 7.00517774e-01
4.82933270e-03, 7.07819045e-01
5.25433011e-03, 7.11370111e-01
5.69314370e-03, 7.17071056e-01
6.14420045e-03, 7.24678814e-01
6.60609081e-03, 7.29928613e-01
7.07758404e-03, 7.34515011e-01
7.55742937e-03, 7.41009712e-01
8.04443471e-03, 7.43932962e-01
8.53745546e-03, 7.50383854e-01
9.03528649e-03, 7.53257751e-01
9.56505444e-03, 7.56915927e-01
1.00972131e-02, 7.57396698e-01
1.06299762e-02, 7.56308675e-01
1.11612603e-02, 7.52191365e-01
1.16886348e-02, 7.44343817e-01
1.22092664e-02, 7.27620244e-01
1.27204731e-02, 7.10693598e-01
1.32203046e-02, 6.92216039e-01
1.37072857e-02, 6.68807268e-01
1.41804535e-02, 6.35866284e-01
1.46393068e-02, 5.99981546e-01
1.50835933e-02, 5.74037969e-01
1.55135337e-02, 5.56776047e-01
1.59295425e-02, 5.35727441e-01
1.63321309e-02, 5.19975066e-01
1.67218409e-02, 5.04867852e-01
1.70993488e-02, 4.98248994e-01
1.75232328e-02, 4.89256769e-01
1.79327000e-02, 4.83437210e-01
1.83287337e-02, 4.72663701e-01
1.87123641e-02, 4.72141564e-01
1.90844648e-02, 4.64530408e-01
1.94453336e-02, 4.64985132e-01
1.97951626e-02, 4.63447869e-01
2.01342255e-02, 4.62584525e-01
2.04628706e-02, 4.56460536e-01
2.07815096e-02, 4.54732120e-01
2.10905802e-02, 4.48070467e-01
2.13906914e-02, 4.45700526e-01
2.16824412e-02, 4.49442387e-01
2.19664853e-02, 4.46719319e-01
2.22434644e-02, 4.45287347e-01
2.25141179e-02, 4.41305727e-01
2.27792170e-02, 4.36670601e-01
2.30394881e-02, 4.35462534e-01
2.32955273e-02, 4.39396381e-01
2.35474892e-02, 4.39204663e-01
2.37953663e-02, 4.38665748e-01
2.40392666e-02, 4.38494086e-01
2.42791809e-02, 4.37552989e-01
2.45152097e-02, 4.37279403e-01
2.47473307e-02, 4.40847993e-01
2.49756370e-02, 4.33263302e-01
2.52001472e-02, 4.32674944e-01
2.54208837e-02, 4.23047662e-01
2.56379023e-02, 4.22450155e-01
2.58512422e-02, 4.27594244e-01
2.60608979e-02, 4.29446757e-01
2.62669288e-02, 4.19124365e-01
2.64693685e-02, 4.17875826e-01
2.66683269e-02, 4.16630089e-01
2.68639680e-02, 4.15111721e-01
2.70564631e-02, 4.10096020e-01
2.72459872e-02, 4.08716679e-01
2.74327118e-02, 4.01679516e-01
2.76168156e-02, 4.00291055e-01
2.77984757e-02, 3.99049580e-01
2.79778671e-02, 3.90106291e-01
2.81551685e-02, 3.88847262e-01
2.83305682e-02, 3.89216840e-01
2.85042431e-02, 3.91142845e-01
2.86763683e-02, 3.81805748e-01
2.88471319e-02, 3.81177723e-01
2.90166140e-02, 3.80022109e-01
2.91848313e-02, 3.76533300e-01
2.93518025e-02, 3.75998288e-01
2.95175333e-02, 3.72216642e-01
2.96820365e-02, 3.67958248e-01
2.98453253e-02, 3.59750599e-01
3.00074127e-02, 3.59195769e-01
3.01683117e-02, 3.56749743e-01
3.03280316e-02, 3.56127262e-01
3.04865856e-02, 3.48918617e-01
3.06439959e-02, 3.45443010e-01
3.08002513e-02, 3.44648123e-01
3.09553891e-02, 3.44817519e-01
3.11094020e-02, 3.32662970e-01
3.12623270e-02, 3.31714898e-01
3.14141922e-02, 3.40960145e-01
3.15650925e-02, 3.29221785e-01
3.17150950e-02, 3.26907098e-01
3.18642855e-02, 3.23494136e-01
3.20127420e-02, 3.22452068e-01
3.21605355e-02, 3.12142015e-01
3.23077552e-02, 3.11285794e-01
3.24544683e-02, 3.10301244e-01
3.26007567e-02, 3.04953128e-01
3.27466987e-02, 3.04127812e-01
3.28923762e-02, 3.03433001e-01
3.30378637e-02, 3.11991245e-01
3.31832394e-02, 3.09245616e-01
3.33285779e-02, 3.08792233e-01
3.34738977e-02, 2.97007203e-01
3.36192027e-02, 2.96577394e-01
3.37645039e-02, 3.05390090e-01
3.39098051e-02, 3.02927434e-01
3.40551026e-02, 3.02605838e-01
3.42004187e-02, 3.02306056e-01
3.43457460e-02, 3.01952541e-01
3.44910994e-02, 3.01638126e-01
3.46364677e-02, 3.01465988e-01
3.47818732e-02, 3.05934191e-01
3.49273160e-02, 3.05664480e-01
3.50727960e-02, 3.05431634e-01
3.52183282e-02, 3.10044974e-01
3.53639089e-02, 3.10051739e-01
3.55095156e-02, 3.12207222e-01
3.56551372e-02, 3.23420465e-01
3.58007327e-02, 3.21568906e-01
3.59462798e-02, 3.22066009e-01
3.60917486e-02, 3.27419519e-01
3.62371244e-02, 3.28301430e-01
3.63823697e-02, 3.29911172e-01
3.65274772e-02, 3.45690727e-01
3.66724543e-02, 3.48686457e-01
3.68173271e-02, 3.86530578e-01
3.69619615e-02, 4.57134306e-01
3.69724520e-02, 4.79233325e-01
3.69768627e-02, 3.53210568e-01
3.69753577e-02, 3.94687243e-02
3.69679928e-02, 3.06217164e-01
3.69548276e-02, 2.95650870e-01
3.69359553e-02, 2.80347705e-01
3.69115248e-02, 2.62348413e-01
3.68816704e-02, 2.37597644e-01
3.68504301e-02, 2.14974895e-01
3.68154980e-02, 2.10590377e-01
3.67769524e-02, 2.31079072e-01
3.67347933e-02, 2.70704031e-01
3.66896056e-02, 2.94547051e-01
3.66416574e-02, 3.19967955e-01
3.65910344e-02, 3.26788068e-01
3.65382545e-02, 2.78498054e-01
3.64836752e-02, 1.43503591e-01
3.64275761e-02, 1.97286069e-01
3.63703445e-02, 2.84681559e-01
3.63123789e-02, 3.29506248e-01
3.62540521e-02, 3.22022796e-01
3.61957476e-02, 3.00439030e-01
3.61378305e-02, 2.72267312e-01
3.60806547e-02, 2.52734333e-01
3.60205323e-02, 2.38574594e-01
3.59621681e-02, 2.54345596e-01
3.59059833e-02, 2.71207809e-01
3.58524919e-02, 2.90813923e-01
3.58021669e-02, 3.06480050e-01
3.57551761e-02, 3.24246794e-01
3.57119776e-02, 2.64080644e-01
3.56731042e-02, 2.66000390e-01
3.56384590e-02, 4.51478422e-01
3.56086195e-02, 4.97259378e-01
3.55835445e-02, 4.46615070e-01
3.53441723e-02, 4.05110121e-01
3.51056270e-02, 3.60287070e-01
3.48679721e-02, 3.56599182e-01
3.46312486e-02, 3.55127484e-01
3.43953520e-02, 3.52551252e-01
3.41601260e-02, 3.48970294e-01
3.39254215e-02, 3.34491074e-01
3.36910896e-02, 3.31046820e-01
3.34569141e-02, 3.45655620e-01
3.32225785e-02, 3.41255575e-01
3.29877511e-02, 3.40541095e-01
3.27521004e-02, 3.35943520e-01
3.25153060e-02, 3.30758154e-01
3.22770290e-02, 3.29234779e-01
3.20369527e-02, 3.27590764e-01
3.17947343e-02, 3.35070044e-01
3.15500684e-02, 3.33150864e-01
3.13026197e-02, 3.26906174e-01
3.10521070e-02, 3.23996574e-01
3.07983309e-02, 3.17593098e-01
3.05411015e-02, 3.19455326e-01
3.02802399e-02, 3.14188242e-01
3.00155748e-02, 3.18985939e-01
2.97468845e-02, 3.12806427e-01
2.94740312e-02, 3.13393235e-01
2.91968249e-02, 3.14386636e-01
2.89150812e-02, 3.15233827e-01
2.86286417e-02, 3.16188514e-01
2.83373948e-02, 3.10002923e-01
2.80412603e-02, 3.13773632e-01
2.77401395e-02, 3.17493200e-01
2.74339020e-02, 3.11285138e-01
2.71225125e-02, 3.08422089e-01
2.68058125e-02, 3.04067999e-01
2.64837667e-02, 3.08961689e-01
2.61562802e-02, 3.08868259e-01
2.58232336e-02, 3.06055069e-01
2.54845433e-02, 3.00599962e-01
2.51400918e-02, 3.07584167e-01
2.47897580e-02, 3.03364217e-01
2.44334172e-02, 3.03338856e-01
2.40709558e-02, 3.03331614e-01
2.37022620e-02, 3.04917693e-01
2.33272072e-02, 2.98554361e-01
2.29456704e-02, 3.00094366e-01
2.25575790e-02, 3.00239176e-01
2.21628658e-02, 2.98408806e-01
2.17616260e-02, 2.99571544e-01
2.13541035e-02, 2.96225429e-01
2.09406074e-02, 2.95118004e-01
2.05213130e-02, 2.99559444e-01
2.00964995e-02, 2.97282815e-01
1.96664128e-02, 2.98289776e-01
1.92312337e-02, 2.97502339e-01
1.87912639e-02, 2.94466227e-01
1.82577297e-02, 2.96703041e-01
1.77178197e-02, 2.96486259e-01
1.71714611e-02, 2.97915280e-01
1.66184753e-02, 2.97482610e-01
1.60588138e-02, 2.95674026e-01
1.54923731e-02, 2.97412902e-01
1.49190025e-02, 2.97458053e-01
1.43386461e-02, 2.96864718e-01
1.37512218e-02, 2.96627522e-01
1.31567344e-02, 2.97277093e-01
1.25556691e-02, 2.98341691e-01
1.19488351e-02, 2.99417078e-01
1.13369599e-02, 2.99725950e-01
1.07207345e-02, 3.02994668e-01
1.01008555e-02, 3.04658234e-01
9.47802048e-03, 3.06430221e-01
8.85287020e-03, 3.08418214e-01
8.22584610e-03, 3.09744716e-01
7.59710371e-03, 3.10587794e-01
6.96675340e-03, 3.10717583e-01
6.33493019e-03, 3.10024083e-01
5.70175517e-03, 3.09052467e-01
5.38443029e-03, 3.11678886e-01
5.06681064e-03, 3.14739585e-01
4.74891486e-03, 3.14069450e-01
4.43075690e-03, 3.11261535e-01
4.11235169e-03, 3.06056499e-01
3.79368803e-03, 2.99201846e-01
3.47466604e-03, 2.90332705e-01
3.15514882e-03, 2.80181944e-01
2.83499924e-03, 2.68814087e-01
2.51419446e-03, 2.57781923e-01
2.19340133e-03, 2.47703701e-01
1.87361846e-03, 2.39963368e-01
1.55594409e-03, 2.43697122e-01
1.24607550e-03, 2.62515903e-01
9.57472832e-04, 2.75463820e-01
7.04973878e-04, 2.71023035e-01
4.92183084e-04, 2.44251430e-01
3.16819118e-04, 1.98711127e-01
1.76186091e-04, 1.44744501e-01
6.97391661e-05, 1.23936981e-01
-1.13698832e-06, 2.29303241e-01
9.13458371e-06, 2.94919491e-01
8.14504601e-05, 3.24070841e-01
1.88511272e-04, 3.50819021e-01
3.12563585e-04, 3.90268594e-01
4.58774099e-04, 4.33115810e-01
6.37591525e-04, 4.65075195e-01
8.58152169e-04, 4.73872125e-01
1.11645553e-03, 4.66204852e-01
1.39756035e-03, 4.67557073e-01


