[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 5.46967745e-01
1.98518834e-03, 5.77742159e-01
2.28990056e-03, 6.07001543e-01
2.60417908e-03, 6.36668682e-01
2.93083163e-03, 6.67054296e-01
3.27328406e-03, 6.93284154e-01
3.63449287e-03, 7.13046193e-01
4.01666388e-03, 7.23564148e-01
4.41987719e-03, 7.31057644e-01
4.82933270e-03, 7.34455764e-01
5.25433011e-03, 7.39475131e-01
5.69314370e-03, 7.46869326e-01
6.14420045e-03, 7.50906765e-01
6.60609081e-03, 7.54846931e-01
7.07758404e-03, 7.61068940e-01
7.55742937e-03, 7.66512513e-01
8.04443471e-03, 7.68626094e-01
8.53745546e-03, 7.72096634e-01
9.03528649e-03, 7.70614743e-01
9.56505444e-03, 7.71828651e-01
1.00972131e-02, 7.73397803e-01
1.06299762e-02, 7.73263037e-01
1.11612603e-02, 7.66929030e-01
1.16886348e-02, 7.55746663e-01
1.22092664e-02, 7.32502699e-01
1.27204731e-02, 7.15445995e-01
1.32203046e-02, 6.96695089e-01
1.37072857e-02, 6.70793772e-01
1.41804535e-02, 6.39505386e-01
1.46393068e-02, 6.09652162e-01
1.50835933e-02, 5.83414435e-01
1.55135337e-02, 5.62813044e-01
1.59295425e-02, 5.42971432e-01
1.63321309e-02, 5.25498807e-01
1.67218409e-02, 5.09435058e-01
1.70993488e-02, 5.02061248e-01
1.75232328e-02, 4.93170679e-01
1.79327000e-02, 4.89510596e-01
1.83287337e-02, 4.78127688e-01
1.87123641e-02, 4.77867424e-01
1.90844648e-02, 4.71174419e-01
1.94453336e-02, 4.66628999e-01
1.97951626e-02, 4.66399610e-01
2.01342255e-02, 4.68334138e-01
2.04628706e-02, 4.57229793e-01
2.07815096e-02, 4.55412060e-01
2.10905802e-02, 4.53464597e-01
2.13906914e-02, 4.51053917e-01
2.16824412e-02, 4.53959018e-01
2.19664853e-02, 4.52197760e-01
2.22434644e-02, 4.47191864e-01
2.25141179e-02, 4.44809049e-01
2.27792170e-02, 4.42403078e-01
2.30394881e-02, 4.41399366e-01
2.32955273e-02, 4.46005255e-01
2.35474892e-02, 4.46230978e-01
2.37953663e-02, 4.45395917e-01
2.40392666e-02, 4.45514828e-01
2.42791809e-02, 4.44684625e-01
2.45152097e-02, 4.44590598e-01
2.47473307e-02, 4.46728200e-01
2.49756370e-02, 4.41235632e-01
2.52001472e-02, 4.40798193e-01
2.54208837e-02, 4.30172652e-01
2.56379023e-02, 4.26453233e-01
2.58512422e-02, 4.25866008e-01
2.60608979e-02, 4.31918979e-01
2.62669288e-02, 4.27346528e-01
2.64693685e-02, 4.26070958e-01
2.66683269e-02, 4.24057335e-01
2.68639680e-02, 4.14871633e-01
2.70564631e-02, 4.13534820e-01
2.72459872e-02, 4.17066932e-01
2.74327118e-02, 4.09247339e-01
2.76168156e-02, 4.07952070e-01
2.77984757e-02, 4.06749606e-01
2.79778671e-02, 3.98466110e-01
2.81551685e-02, 3.97242188e-01
2.83305682e-02, 3.90709072e-01
2.85042431e-02, 3.89796317e-01
2.86763683e-02, 3.90143991e-01
2.88471319e-02, 3.89391601e-01
2.90166140e-02, 3.88755441e-01
2.91848313e-02, 3.85315031e-01
2.93518025e-02, 3.81008089e-01
2.95175333e-02, 3.80565405e-01
2.96820365e-02, 3.76783580e-01
2.98453253e-02, 3.67107928e-01
3.00074127e-02, 3.66562694e-01
3.01683117e-02, 3.65418792e-01
3.03280316e-02, 3.64781559e-01
3.04865856e-02, 3.57353747e-01
3.06439959e-02, 3.53825331e-01
3.08002513e-02, 3.49077612e-01
3.09553891e-02, 3.48288894e-01
3.11094020e-02, 3.40664387e-01
3.12623270e-02, 3.39717984e-01
3.14141922e-02, 3.49168003e-01
3.15650925e-02, 3.37206364e-01
3.17150950e-02, 3.34855437e-01
3.18642855e-02, 3.31431925e-01
3.20127420e-02, 3.30404103e-01
3.21605355e-02, 3.19855094e-01
3.23077552e-02, 3.19016516e-01
3.24544683e-02, 3.18045437e-01
3.26007567e-02, 3.12603503e-01
3.27466987e-02, 3.11833560e-01
3.28923762e-02, 3.11182797e-01
3.30378637e-02, 3.20026040e-01
3.31832394e-02, 3.17305058e-01
3.33285779e-02, 3.16962689e-01
3.34738977e-02, 3.04986358e-01
3.36192027e-02, 3.04608792e-01
3.37645039e-02, 3.13701451e-01
3.39098051e-02, 3.11232239e-01
3.40551026e-02, 3.10853720e-01
3.42004187e-02, 3.10568988e-01
3.43457460e-02, 3.10245097e-01
3.44910994e-02, 3.09936881e-01
3.46364677e-02, 3.09697211e-01
3.47818732e-02, 3.14280570e-01
3.49273160e-02, 3.14017177e-01
3.50727960e-02, 3.13730180e-01
3.52183282e-02, 3.18412483e-01
3.53639089e-02, 3.18364948e-01
3.55095156e-02, 3.20494831e-01
3.56551372e-02, 3.20415974e-01
3.58007327e-02, 3.20412219e-01
3.59462798e-02, 3.20561349e-01
3.60917486e-02, 3.34859073e-01
3.62371244e-02, 3.35443795e-01
3.63823697e-02, 3.36144984e-01
3.65274772e-02, 3.49382937e-01
3.66724543e-02, 3.52783293e-01
3.68173271e-02, 3.67155731e-01
3.69619615e-02, 4.38482523e-01
3.69724520e-02, 3.96355331e-01
3.69768627e-02, 1.82744786e-01
3.69753577e-02, 2.90847123e-01
3.69679928e-02, 2.58076608e-01
3.69548276e-02, 2.19822407e-01
3.69359553e-02, 1.98548883e-01
3.69115248e-02, 1.76452309e-01
3.68816704e-02, 1.58095255e-01
3.68504301e-02, 1.48039877e-01
3.68154980e-02, 1.54109478e-01
3.67769524e-02, 1.69940323e-01
3.67347933e-02, 1.87028781e-01
3.66896056e-02, 1.94053799e-01
3.66416574e-02, 2.01584861e-01
3.65910344e-02, 1.95092216e-01
3.65382545e-02, 1.57933146e-01
3.64836752e-02, 7.34058917e-02
3.64275761e-02, 1.03752956e-01
3.63703445e-02, 1.61416024e-01
3.63123789e-02, 1.96770802e-01
3.62540521e-02, 2.01699123e-01
3.61957476e-02, 1.96981952e-01
3.61378305e-02, 1.83959380e-01
3.60806547e-02, 1.70618087e-01
3.60205323e-02, 1.54822469e-01
3.59621681e-02, 1.53911486e-01
3.59059833e-02, 1.69008851e-01
3.58524919e-02, 1.90974206e-01
3.58021669e-02, 2.17088506e-01
3.57551761e-02, 2.31489480e-01
3.57119776e-02, 3.00796926e-01
3.56731042e-02, 2.22166076e-01
3.56384590e-02, 3.43759835e-01
3.56086195e-02, 4.51127231e-01
3.55835445e-02, 4.28083718e-01
3.53441723e-02, 3.88282597e-01
3.51056270e-02, 3.61263245e-01
3.48679721e-02, 3.55881631e-01
3.46312486e-02, 3.56509328e-01
3.43953520e-02, 3.54469121e-01
3.41601260e-02, 3.51266265e-01
3.39254215e-02, 3.37065399e-01
3.36910896e-02, 3.34039569e-01
3.34569141e-02, 3.48873049e-01
3.32225785e-02, 3.44489038e-01
3.29877511e-02, 3.43841374e-01
3.27521004e-02, 3.39079797e-01
3.25153060e-02, 3.33731115e-01
3.22770290e-02, 3.32321048e-01
3.20369527e-02, 3.30690026e-01
3.17947343e-02, 3.38338792e-01
3.15500684e-02, 3.36511135e-01
3.13026197e-02, 3.30294907e-01
3.10521070e-02, 3.27492088e-01
3.07983309e-02, 3.21170449e-01
3.05411015e-02, 3.20204735e-01
3.02802399e-02, 3.13789189e-01
3.00155748e-02, 3.19554240e-01
2.97468845e-02, 3.16901296e-01
2.94740312e-02, 3.17669719e-01
2.91968249e-02, 3.18836361e-01
2.89150812e-02, 3.19868445e-01
2.86286417e-02, 3.21020246e-01
2.83373948e-02, 3.14866781e-01
2.80412603e-02, 3.18917036e-01
2.77401395e-02, 3.19515526e-01
2.74339020e-02, 3.16729426e-01
2.71225125e-02, 3.14005703e-01
2.68058125e-02, 3.09773982e-01
2.64837667e-02, 3.13293338e-01
2.61562802e-02, 3.09068412e-01
2.58232336e-02, 3.10710400e-01
2.54845433e-02, 3.06963950e-01
2.51400918e-02, 3.11580926e-01
2.47897580e-02, 3.10171515e-01
2.44334172e-02, 3.10349554e-01
2.40709558e-02, 3.10457110e-01
2.37022620e-02, 3.10623586e-01
2.33272072e-02, 3.06023717e-01
2.29456704e-02, 3.07844877e-01
2.25575790e-02, 3.08185220e-01
2.21628658e-02, 3.06545258e-01
2.17616260e-02, 3.07934701e-01
2.13541035e-02, 3.04786831e-01
2.09406074e-02, 3.03937972e-01
2.05213130e-02, 3.07200491e-01
2.00964995e-02, 3.06618094e-01
1.96664128e-02, 3.07923794e-01
1.92312337e-02, 3.05891722e-01
1.87912639e-02, 3.04565370e-01
1.82577297e-02, 3.07605743e-01
1.77178197e-02, 3.07986617e-01
1.71714611e-02, 3.04930478e-01
1.66184753e-02, 3.08147013e-01
1.60588138e-02, 3.08167934e-01
1.54923731e-02, 3.09082270e-01
1.49190025e-02, 3.09721947e-01
1.43386461e-02, 3.09107065e-01
1.37512218e-02, 3.10683489e-01
1.31567344e-02, 3.11298668e-01
1.25556691e-02, 3.14648330e-01
1.19488351e-02, 3.15615743e-01
1.13369599e-02, 3.16908896e-01
1.07207345e-02, 3.20150137e-01
1.01008555e-02, 3.23724091e-01
