[Name]
Series 1 at airfoil

[Data]
X [ m ],Yplus
1.68829411e-03, 3.47081363e-01
1.98518834e-03, 3.62412095e-01
2.28990056e-03, 3.79118174e-01
2.60417908e-03, 3.97667497e-01
2.93083163e-03, 4.18735504e-01
3.27328406e-03, 4.39482659e-01
3.63449287e-03, 4.59291399e-01
4.01666388e-03, 4.75391895e-01
4.41987719e-03, 4.91438061e-01
4.82933270e-03, 5.04007220e-01
5.25433011e-03, 5.14189720e-01
5.69314370e-03, 5.24171472e-01
6.14420045e-03, 5.31037688e-01
6.60609081e-03, 5.37595391e-01
7.07758404e-03, 5.45640886e-01
7.55742937e-03, 5.52586377e-01
8.04443471e-03, 5.56708217e-01
8.53745546e-03, 5.61483026e-01
9.03528649e-03, 5.63179374e-01
9.56505444e-03, 5.66976130e-01
1.00972131e-02, 5.70511520e-01
1.06299762e-02, 5.73026299e-01
1.11612603e-02, 5.71164131e-01
1.16886348e-02, 5.67737699e-01
1.22092664e-02, 5.58376968e-01
1.27204731e-02, 5.52502394e-01
1.32203046e-02, 5.43816268e-01
1.37072857e-02, 5.29489636e-01
1.41804535e-02, 5.10210276e-01
1.46393068e-02, 4.89420325e-01
1.50835933e-02, 4.70177799e-01
1.55135337e-02, 4.54434782e-01
1.59295425e-02, 4.39056158e-01
1.63321309e-02, 4.25356209e-01
1.67218409e-02, 4.12838250e-01
1.70993488e-02, 4.07734722e-01
1.75232328e-02, 4.00810778e-01
1.79327000e-02, 3.97425026e-01
1.83287337e-02, 3.87728244e-01
1.87123641e-02, 3.87071252e-01
1.90844648e-02, 3.81228894e-01
1.94453336e-02, 3.77215207e-01
1.97951626e-02, 3.77164602e-01
2.01342255e-02, 3.79225522e-01
2.04628706e-02, 3.70748341e-01
2.07815096e-02, 3.70048702e-01
2.10905802e-02, 3.69355708e-01
2.13906914e-02, 3.68182003e-01
2.16824412e-02, 3.71397376e-01
2.19664853e-02, 3.70631605e-01
2.22434644e-02, 3.67078215e-01
2.25141179e-02, 3.65536183e-01
2.27792170e-02, 3.63665551e-01
2.30394881e-02, 3.62651467e-01
2.32955273e-02, 3.65792036e-01
2.35474892e-02, 3.65434736e-01
2.37953663e-02, 3.64530504e-01
2.40392666e-02, 3.64423007e-01
2.42791809e-02, 3.63795042e-01
2.45152097e-02, 3.63682717e-01
2.47473307e-02, 3.65578234e-01
2.49756370e-02, 3.61077547e-01
2.52001472e-02, 3.60875785e-01
2.54208837e-02, 3.52304578e-01
2.56379023e-02, 3.49400997e-01
2.58512422e-02, 3.49063158e-01
2.60608979e-02, 3.54326993e-01
2.62669288e-02, 3.50961387e-01
2.64693685e-02, 3.50291491e-01
2.66683269e-02, 3.48930240e-01
2.68639680e-02, 3.41722310e-01
2.70564631e-02, 3.40885848e-01
2.72459872e-02, 3.44015062e-01
2.74327118e-02, 3.37770045e-01
2.76168156e-02, 3.36911649e-01
2.77984757e-02, 3.36065590e-01
2.79778671e-02, 3.29341114e-01
2.81551685e-02, 3.28522205e-01
2.83305682e-02, 3.23184013e-01
2.85042431e-02, 3.22455406e-01
2.86763683e-02, 3.22805166e-01
2.88471319e-02, 3.21942538e-01
2.90166140e-02, 3.21167856e-01
2.91848313e-02, 3.18167090e-01
2.93518025e-02, 3.14557195e-01
2.95175333e-02, 3.14188063e-01
2.96820365e-02, 3.11029375e-01
2.98453253e-02, 3.03011775e-01
3.00074127e-02, 3.02625567e-01
3.01683117e-02, 3.01746249e-01
3.03280316e-02, 3.01309347e-01
3.04865856e-02, 2.95252562e-01
3.06439959e-02, 2.92410433e-01
3.08002513e-02, 2.88665473e-01
3.09553891e-02, 2.88102925e-01
3.11094020e-02, 2.81936586e-01
3.12623270e-02, 2.81317174e-01
3.14141922e-02, 2.89378285e-01
3.15650925e-02, 2.79523492e-01
3.17150950e-02, 2.77723193e-01
3.18642855e-02, 2.74962425e-01
3.20127420e-02, 2.74204165e-01
3.21605355e-02, 2.65514702e-01
3.23077552e-02, 2.64880180e-01
3.24544683e-02, 2.64124572e-01
3.26007567e-02, 2.59638965e-01
3.27466987e-02, 2.59041071e-01
3.28923762e-02, 2.58508384e-01
3.30378637e-02, 2.65832722e-01
3.31832394e-02, 2.63474196e-01
3.33285779e-02, 2.63075411e-01
3.34738977e-02, 2.53023863e-01
3.36192027e-02, 2.52720565e-01
3.37645039e-02, 2.60235667e-01
3.39098051e-02, 2.58086920e-01
